और	en	और	en		CONJ
मगर	behalve	मगर	behalve	CONJ	CONJ
महीनों	maandenlang	महीना	maandenlang	N;NOM;MASC;PL;3	ADJ
सेल	cell	सेल	cell	N;NOM;MASC;SG;3	
मुख	mond	मुख	mond		N;MASC+FEM;SG
सीज़न	seizoenen	सीज़न	seizoen	N;NOM;MASC;SG;3	N;PL
पाठक	lezers	पाठक	lezer		N;PL
पाठक	lezer	पाठक	lezer		N;MASC+FEM;SG
पाठक	reader	पाठक	reader		N;MASC+FEM;SG
पाठक	lezer	पाठक	lezer		N;MASC+FEM;SG
अग्रणी	leidende	अग्रणी	leiden	PROPN;NOM;MASC;SG;3	V;V.PTCP
अग्रणी	leidend	अग्रणी	leiden	PROPN;NOM;MASC;SG;3	V;V.PTCP
नाथ	nath	नाथ	nath	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
उन्नत	verbeterd	उन्नत	verbeteren		V;V.PTCP
उन्नत	versterkt	उन्नत	versterken		V;V.PTCP
उन्नत	geavanceerd	उन्नत	avanceren		V;V.PTCP
उन्नत	geavanceerde	उन्नत	avanceren		V;V.PTCP
उन्नत	gevorderden	उन्नत	vorderen		ADJ
उन्नत	advanced	उन्नत	advanced		
उन्नत	gevorderd	उन्नत	vorderen		V;V.PTCP
सर्वर	servers	सर्वर	server	N;NOM;MASC;SG;3	N;PL
पीड़ित	leed	पीड़ित	lijden	PROPN;NOM;SG;3	V;SG;PST;FIN
पीड़ित	lijdende	पीड़ित	lijden	PROPN;NOM;SG;3	V;V.PTCP
पीड़ित	lijden	पीड़ित	lijden	PROPN;NOM;SG;3	V;NFIN
पीड़ित	lijdt	पीड़ित	lijden	PROPN;NOM;SG;3	V;SG;PRS;FIN
पीड़ित	slachtoffers	पीड़ित	slachtoffer	PROPN;NOM;SG;3	N;PL
पीड़ित	slachtoffer	पीड़ित	slachtoffer	PROPN;NOM;SG;3	N;NEUT;SG
श्रेणियों	gilde	श्रेणी	gilde	N;ACC;MASC;PL;3	N;NEUT;SG
राजकुमार	prince	राजकुमार	prince	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
राजकुमार	prins	राजकुमार	prins	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
उम्मीद	hoopt	उम्मीद	hopen	N;NOM;FEM;SG;3	V;SG;PRS;FIN
उम्मीद	hopen	उम्मीद	hopen	N;NOM;FEM;SG;3	V;NFIN
उम्मीद	hopend	उम्मीद	hopen	N;NOM;FEM;SG;3	V;V.PTCP
उम्मीद	hoopvol	उम्मीद	hoopvol	N;NOM;FEM;SG;3	ADJ
उम्मीद	hoopgevend	उम्मीद	hoopgevend	N;NOM;FEM;SG;3	V;V.PTCP
उम्मीद	hoopvolle	उम्मीद	hoopvol	N;NOM;FEM;SG;3	ADJ
उम्मीद	hopen	उम्मीद	hopen	N;NOM;FEM;SG;3	V;NFIN
कार्यकारी	uitvoerende	कार्यकारी	uitvoeren	N;NOM;MASC;SG;3	V;V.PTCP
कार्यकारी	uitvoerend	कार्यकारी	uitvoeren	N;NOM;MASC;SG;3	V;V.PTCP
वरिष्ठ	senioren	वरिष्ठ	senior	N;NOM;MASC;SG;3	N;PL
वरिष्ठ	laatstejaars	वरिष्ठ	laatstejaar	N;NOM;MASC;SG;3	ADJ;RL
वरिष्ठ	laatstejaars	वरिष्ठ	laatstejaar	N;NOM;MASC;SG;3	ADJ;RL
स्कॉटलैंड	schotland	स्कॉटलैंड	schotland	PROPN;NOM;MASC;SG;3	PROPN;NEUT;SG
फारसी	perzisch	फारसी	perzisch	PROPN;NOM;MASC;SG;3	ADJ
फारसी	perzische	फारसी	perzisch	PROPN;NOM;MASC;SG;3	ADJ
संरक्षित	beschermde	संरक्षित	beschermen	ADJ;NOM	V;SG;PST;FIN
संरक्षित	beschermd	संरक्षित	beschermen	ADJ;NOM	V;V.PTCP
सहज	intuïtief	सहज	intuïtief		ADJ
सहज	intuïtieve	सहज	intuïtief		ADJ
सहज	comfortabel	सहज	comfortabel		ADJ
सहज	comfortabele	सहज	comfortabel		ADJ
बदला	wraak	बदल	wraak	V;PFV;MASC;SG;V.PTCP;ACT	N;MASC+FEM;SG
बदला	beloning	बदल	beloning	V;PFV;MASC;SG;V.PTCP;ACT	N;MASC+FEM;SG
बदला	vervanging	बदल	vervanging	V;PFV;MASC;SG;V.PTCP;ACT	N;MASC+FEM;SG
बदला	vervanger	बदल	vervanger	V;PFV;MASC;SG;V.PTCP;ACT	N;MASC+FEM;SG
कलकत्ता	calcutta	कलकत्ता	calcutta	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
काला	black	काला	black	ADJ;NOM;MASC;SG	
पंक्ति	rijen	पंक्ति	rij	N;NOM;FEM;SG;3	N;PL
पंक्ति	roei	पंक्ति	roei	N;NOM;FEM;SG;3	V;SG;PRS;FIN
पंक्ति	roeien	पंक्ति	roeien	N;NOM;FEM;SG;3	V;NFIN
ओलंपिक	olympische	ओलंपिक	Olympisch	PROPN;NOM;MASC;SG;3	ADJ
अनुनाद	resonantie	अनुनाद	resonantie	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
अनुनाद	weerklank	अनुनाद	weerklank	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
कार्रवाई	action	कार्रवाई	action	N;NOM;FEM;SG;3	
कार्रवाई	optreden	कार्रवाई	optreden	N;NOM;FEM;SG;3	V;NFIN
शिशु	kindjes	शिशु	kind	N;NOM;MASC;SG;3	N;PL
शिशु	babies	शिशु	babie	N;NOM;MASC;SG;3	N;PL
मार्क	markeren	मार्क	markeren	PROPN;NOM;MASC;SG;3	V;NFIN
मार्क	merkteken	मार्क	merkteken	PROPN;NOM;MASC;SG;3	N;NEUT;SG
मार्क	markeer	मार्क	markeren	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
मार्क	mark	मार्क	mark	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
मार्क	marc	मार्क	marc	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
ब्रह्म	brahman	ब्रह्म	brahman	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
ब्रह्म	brahma	ब्रह्म	brahma	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
ट्रैक	nummers	ट्रैक	nummer	N;NOM;MASC;SG;3	N;PL
ट्रैक	tracks	ट्रैक	tracks	N;NOM;MASC;SG;3	N;PL
ट्रैक	sporen	ट्रैक	spoor	N;NOM;MASC;SG;3	N;PL
ट्रैक	rupsbanden	ट्रैक	rupsband	N;NOM;MASC;SG;3	N;PL
मनोवैज्ञानिक	psychologische	मनोवैज्ञानिक	psychologisch	N;NOM;MASC;SG;3	ADJ
मनोवैज्ञानिक	psychologisch	मनोवैज्ञानिक	psychologisch	N;NOM;MASC;SG;3	ADJ
कही	ergens	कह	ergens	V;PFV;FEM;SG;V.PTCP;ACT	ADV
मैन	man	मैन	man		N;MASC+FEM;SG
जिम्मेदार	verantwoord	जिम्मेदार	verantwoorden	ADJ	V;V.PTCP
आवृत्ति	terugkerende	आवृत्ति	terugkeren	N;NOM;FEM;SG;3	V;V.PTCP
आवृत्ति	terugkerend	आवृत्ति	terugkeren	N;NOM;FEM;SG;3	V;V.PTCP
आवृत्ति	voorvallen	आवृत्ति	voorvallen	N;NOM;FEM;SG;3	N;PL
कोण	hoeken	कोण	hoek	N;NOM;MASC;SG;3	N;PL
ईस्ट	oosten	ईस्ट	oosten	PROPN;NOM;MASC;SG;3	N;NEUT;SG
ईस्ट	oost	ईस्ट	oost	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
खतरा	gevaren	खतरा	gevaar	N;NOM;MASC;SG;3	N;PL
सहमत	afgesproken	सहमत	afspreken	ADJ	V;V.PTCP
सहमत	overeengekomen	सहमत	overeenkomen	ADJ	V;V.PTCP
मोटे	obesitas	मोटा	obesitas	V;PFV;MASC;PL;3;V.PTCP;ACT	N;PL
मोटे	vet	मोटा	vet	V;PFV;MASC;PL;3;V.PTCP;ACT	N;NEUT;SG
मोटे	dikke	मोटा	dik	V;PFV;MASC;PL;3;V.PTCP;ACT	ADJ
मोटे	dik	मोटा	dik	V;PFV;MASC;PL;3;V.PTCP;ACT	ADJ
मार्शल	marshall	मार्शल	marshall	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
मार्शल	maarschalk	मार्शल	maarschalk	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
मार्शल	marshal	मार्शल	marshal	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
हिसाब	boekhoudkundige	हिसाब	boekhoudkundig	N;NOM;MASC;SG;3	ADJ
हिसाब	boekhouden	हिसाब	boekhouden	N;NOM;MASC;SG;3	N;PL
उदय	stijgen	उदय	stijgen	PROPN;NOM;MASC;SG;3	V;NFIN
उदय	stijgt	उदय	stijgen	PROPN;NOM;MASC;SG;3	V;SG;PRS;FIN
फ़ारसी	perzisch	फ़ारसी	perzisch	PROPN;NOM;MASC;SG;3	ADJ
फ़ारसी	perzische	फ़ारसी	perzisch	PROPN;NOM;MASC;SG;3	ADJ
मेक्सिको	mexicaanse	मेक्सिको	mexicaans	PROPN;NOM;MASC;SG;3	ADJ
मेक्सिको	mexico	मेक्सिको	mexico	PROPN;NOM;MASC;SG;3	PROPN;NEUT;SG
बिग	big	बिग	big		N;MASC+FEM;SG
बिग	groot	बिग	groot		ADJ
बिग	grote	बिग	groot		ADJ
प्रार्थना	bidden	प्रार्थना	bidden	N;NOM;FEM;SG;3	V;NFIN
प्रार्थना	gebeden	प्रार्थना	gebeden	N;NOM;FEM;SG;3	N;PL
प्रार्थना	bidden	प्रार्थना	bidden	N;NOM;FEM;SG;3	V;NFIN
लाहौर	lahore	लाहौर	lahore	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
समानता	gelijkenissen	समानता	gelijkenis	N;NOM;FEM;SG;3	N;PL
बम	bommen	बम	bom	N;NOM;MASC;SG;3	N;PL
हैरी	harry	हैरी	harry	PROPN;NOM;FEM;SG;3	PROPN;MASC+FEM;SG
कैथोलिक	katholieke	कैथोलिक	katholiek	N;NOM;MASC;SG;3	ADJ
कैथोलिक	katholiek	कैथोलिक	katholiek	N;NOM;MASC;SG;3	ADJ
देहरादून	dehradun	देहरादून	dehradun	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
बंगाली	bengaalse	बंगाली	bengaals	PROPN;NOM;MASC;SG;3	ADJ
घायल	geblesseerd	घायल	blesseren	ADJ	V;V.PTCP
सहारा	sahara	सहारा	sahara		N;MASC+FEM;SG
सारा	sarah	सारा	sarah	ADJ;NOM;MASC;SG	N;MASC+FEM;SG
सारा	sara	सारा	sara	ADJ;NOM;MASC;SG	N;MASC+FEM;SG
इलेक्ट्रॉनिक	elektronisch	इलेक्ट्रॉनिक	elektronisch	N;NOM	ADJ
तंत्रिका	zenuwen	तंत्रिका	zenuw	N;NOM;FEM;SG;3	N;PL
गोवा	goa	गोवा	goad	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
रास्ता	way	रास्ता	way	N;NOM;MASC;SG;3	
टाटा	tata	टाटा	tata	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
पृष्ठभूमि	achtergronden	पृष्ठभूमि	achtergrond	N;NOM;FEM;SG;3	N;PL
टन	tonnen	टन	tonnen	N;NOM;MASC;SG;3	N;PL
मेडिकल	medische	मेडिकल	medisch	N;NOM;MASC;SG;3	ADJ
मेडिकल	medisch	मेडिकल	medisch	N;NOM;MASC;SG;3	ADJ
मार्टिन	maarten	मार्टिन	maarten	PROPN;NOM;MASC;SG;3	N;PL
मार्टिन	martin	मार्टिन	martin	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
हस्तक्षेप	interventies	हस्तक्षेप	interventie	N;NOM;MASC;SG;3	N;PL
किसान	boer	किसान	boer	N;NOM;MASC;PL;3	N;MASC+FEM;SG
किसान	landbouwer	किसान	landbouwer	N;NOM;MASC;PL;3	N;MASC+FEM;SG
पतन	terugvallen	पतन	terugvallen	N;NOM;MASC;SG;3	V;NFIN
पतन	instorten	पतन	instorten	N;NOM;MASC;SG;3	V;NFIN
पतन	vallen	पतन	vallen	N;NOM;MASC;SG;3	V;NFIN
स्वाभाविक	aangeboren	स्वाभाविक	aangeboren	ADJ	V;V.PTCP
जोधपुर	jodhpur	जोधपुर	jodhpur	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
स्नान	baden	स्नान	baad	N;NOM;MASC;SG;3	V;NFIN
कुशल	efficient	कुशल	efficienen		ADJ
कुशल	efficiënte	कुशल	efficiënt		ADJ
कुशल	efficiënt	कुशल	efficiënt		ADJ
कुशल	lenig	कुशल	lenig		ADJ
गिरावट	dalingen	गिरावट	daling	N;NOM;FEM;SG;3	N;PL
सफ़ेद	wit	सफ़ेद	wit	N;NOM;MASC;SG;3	ADJ
सफ़ेद	witte	सफ़ेद	wit	N;NOM;MASC;SG;3	ADJ
हरे	haas	हरा	haas		N;MASC+FEM;SG
हरे	hare	हरा	hare		PRO;GEN;3
फ़ाइल	bestanden	फााइल	bestand	N;NOM;MASC;SG;3	N;PL
फ़ाइल	dossiers	फााइल	dossier	N;NOM;MASC;SG;3	N;PL
स्वागत	welkome	स्वागत	welkom	N;NOM;MASC;SG;3	ADJ
विरासत	erven	विरासत	erven	N;NOM;FEM;SG;3	V;NFIN
गोली	neergeschoten	गोली	neerschieten	N;NOM;FEM;SG;3	V;V.PTCP
आयुर्वेद	ayurveda	आयुर्वेद	ayurveda	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
मतदान	stemmen	मतदान	stem	N;NOM;MASC;SG;3	N;PL
नेपाली	nepalees	नेपाली	nepalees	ADJ;NOM	N;MASC+FEM;SG
नील	indigo	नील	indigo	PROPN;NOM;MASC;SG;3	N;NEUT;SG
दुर्लभ	zeldzame	दुर्लभ	zeldzaam		ADJ
दुर्लभ	zelden	दुर्लभ	zelden		ADV
दुर्लभ	zeldzaam	दुर्लभ	zeldzaam		ADJ
गहरा	deep	गहरा	deep	ADJ;NOM;MASC;SG	N;MASC+FEM;SG
बारह	twelve	बारह	twelve	NUM	
खड़ी	standing	खड़ा	standing	ADJ;NOM;FEM;SG	
खड़ी	staande	खड़ा	staan	ADJ;NOM;FEM;SG	V;V.PTCP
खड़ी	staand	खड़ा	staand	ADJ;NOM;FEM;SG	V;V.PTCP
लड़की	girl	लड़की	girl	N;NOM;FEM;SG;3	
हुसैन	hussain	हुसैन	hussain	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
भट्ट	oven	भट्ट	oven	PROPN;NOM;SG;3	N;MASC+FEM;SG
सुख	geneugten	सुख	geneugte		N;PL
सुख	genoegens	सुख	genoegens		N;MASC+FEM;SG
सुख	blijheid	सुख	blijheid		N;MASC+FEM;SG
सुख	blijdschap	सुख	blijdschap		N;MASC+FEM;SG
सुख	geluk	सुख	geluk		N;NEUT;SG
निहित	impliciet	निहित	impliciet	ADP	ADJ
निहित	impliciete	निहित	impliciet	ADP	ADJ
अहमद	ahmed	अहमद	ahmed	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
अहमद	achmed	अहमद	achmed	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
अहमद	ahmad	अहमद	ahmad	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
वर्गीकृत	ingedeeld	वर्गीकृत	indelen	ADJ	V;V.PTCP
वर्गीकृत	geklasseerd	वर्गीकृत	klasseren	ADJ	V;V.PTCP
वर्गीकृत	geclassificeerd	वर्गीकृत	classificeren	ADJ	V;V.PTCP
वर्गीकृत	gesorteerd	वर्गीकृत	sorteren	ADJ	V;V.PTCP
लॉस	los	लॉस	los	PROPN;NOM;MASC;SG;3	ADJ
सवाल	vraagje	सवाल	vraag	N;NOM;MASC;PL;3	N;NEUT;SG
सवाल	vraag	सवाल	vraag	N;NOM;MASC;PL;3	N;MASC+FEM;SG
सवाल	vragen	सवाल	vraag	N;NOM;MASC;PL;3	V;NFIN
यमुना	yamuna	यमुना	yamuna	PROPN;NOM;FEM;SG;3	N;MASC+FEM;SG
पकड़	grip	पकड	grip	V;FIN;ACT	N;MASC+FEM;SG
पकड़	greep	पकड	greep	V;FIN;ACT	N;MASC+FEM;SG
पथ	paden	पथ	pad	N;NOM;MASC;SG;3	N;PL
शिक्षक	onderwijzers	शिक्षक	onderwijzer	N;NOM;MASC;SG;3	N;PL
शिक्षक	opvoeders	शिक्षक	opvoeder	N;NOM;MASC;SG;3	N;PL
शिक्षक	onderwijzers	शिक्षक	onderwijzer	N;NOM;MASC;SG;3	N;PL
शिक्षक	leraren	शिक्षक	leraar	N;NOM;MASC;SG;3	N;PL
शिक्षक	docenten	शिक्षक	docent	N;NOM;MASC;SG;3	N;PL
शिक्षक	leerkrachten	शिक्षक	leerkracht	N;NOM;MASC;SG;3	N;PL
शिक्षक	leraars	शिक्षक	leraar	N;NOM;MASC;SG;3	N;PL
खाता	rekening	खा	rekening	V;IPFV;MASC;SG;V.PTCP;ACT	N;MASC+FEM;SG
खाता	account	खा	accounen	V;IPFV;MASC;SG;V.PTCP;ACT	N;NEUT;SG
खाता	accounts	खा	accounts	V;IPFV;MASC;SG;V.PTCP;ACT	N;PL
खाता	rekeningen	खा	rekening	V;IPFV;MASC;SG;V.PTCP;ACT	N;PL
सहयोगी	collega	सहयोगी	collega	N;NOM;MASC;PL;3	N;MASC+FEM;SG
सहयोगी	geassocieerde	सहयोगी	geassocieerd	N;NOM;MASC;PL;3	V;V.PTCP
सहयोगी	associëren	सहयोगी	associër	N;NOM;MASC;PL;3	V;NFIN
सहयोगी	medewerker	सहयोगी	medewerker	N;NOM;MASC;PL;3	N;MASC+FEM;SG
नोट	aantekeningen	नोट	aantekening	N;NOM;MASC;SG;3	N;PL
नोट	notities	नोट	notitie	N;NOM;MASC;SG;3	N;PL
नोट	noten	नोट	noten	N;NOM;MASC;SG;3	N;PL
नीतियों	beleid	नीति	beleid	N;ACC;FEM;PL;3	N;NEUT;SG
पेज	bladzijden	पेज	bladzijde	N;NOM;MASC;SG;3	N;PL
सजा	zin	सजा	zin	PROPN;NOM;FEM;SG;3	N;MASC+FEM;SG
सजा	straf	सजा	straf	PROPN;NOM;FEM;SG;3	N;MASC+FEM;SG
सजा	vonnis	सजा	vonnis	PROPN;NOM;FEM;SG;3	N;NEUT;SG
सजा	bestraffen	सजा	bestraffen	PROPN;NOM;FEM;SG;3	V;NFIN
सजा	straffen	सजा	straf	PROPN;NOM;FEM;SG;3	N;PL
सजा	zweepslagen	सजा	zweepslag	PROPN;NOM;FEM;SG;3	N;PL
सजा	gedecoreerd	सजा	decoreren	PROPN;NOM;FEM;SG;3	V;V.PTCP
सजा	ingericht	सजा	inrichten	PROPN;NOM;FEM;SG;3	V;V.PTCP
सजा	versierd	सजा	versieren	PROPN;NOM;FEM;SG;3	V;V.PTCP
सजा	bestraffing	सजा	bestraffing	PROPN;NOM;FEM;SG;3	N;MASC+FEM;SG
सजा	straf	सजा	straf	PROPN;NOM;FEM;SG;3	N;MASC+FEM;SG
सजा	straffen	सजा	straf	PROPN;NOM;FEM;SG;3	N;PL
परम	bast	परम	bast		N;MASC+FEM;SG
परम	ultieme	परम	ultiem		ADJ
परम	ultimate	परम	ultimate		N;MASC+FEM;SG
गिर	herfst	गिर	herfst	V;ACT	N;MASC+FEM;SG
गिर	fall	गिर	fall	V;ACT	N;MASC+FEM;SG
अर्जित	opgegroeid	अर्जित	opgroeien	ADJ	V;V.PTCP
अर्जित	getogen	अर्जित	tijgen	ADJ	V;V.PTCP
अर्जित	opgevoed	अर्जित	opvoeden	ADJ	V;V.PTCP
अर्जित	verdiend	अर्जित	verdienen	ADJ	V;V.PTCP
अर्जित	verdiende	अर्जित	verdienen	ADJ	V;SG;PST;FIN
अमर	onsterfelijk	अमर	onsterfelijk	PROPN;NOM;MASC;SG;3	ADJ
अमर	onsterfelijken	अमर	onsterfelijken	PROPN;NOM;MASC;SG;3	N;PL
अमर	onsterfelijke	अमर	onsterfelijk	PROPN;NOM;MASC;SG;3	ADJ
अमर	amar	अमर	amar	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
खुला	open	खुल	open	V;PFV;MASC;SG;V.PTCP;ACT	ADJ
चालक	coureurs	चालक	coureur	N;NOM;MASC;SG;3	N;PL
चालक	chauffeurs	चालक	chauffeurs	N;NOM;MASC;SG;3	N;PL
चालक	rijders	चालक	rijder	N;NOM;MASC;SG;3	N;PL
वास्तुकला	architecten	वास्तुकला	architect	N;NOM;FEM;SG;3	N;PL
बनती	banti	बन	banti	V;IPFV;FEM;SG;V.PTCP;ACT	N;MASC+FEM;SG
अंकित	geregistreerd	अंकित	registreren	ADJ	V;V.PTCP
अंकित	opgenomen	अंकित	opnemen	ADJ	V;V.PTCP
अंकित	genoteerd	अंकित	noteren	ADJ	V;V.PTCP
समृद्ध	verrijkte	समृद्ध	verrijken	ADP	V;SG;PST;FIN
समृद्ध	verrijkt	समृद्ध	verrijken	ADP	V;V.PTCP
समृद्ध	rijk	समृद्ध	rijk	ADP	ADJ
समृद्ध	rijken	समृद्ध	rijken	ADP	N;PL
समृद्ध	rich	समृद्ध	rich	ADP	N;MASC+FEM;SG
समृद्ध	uitbundige	समृद्ध	uitbundig	ADP	ADJ
इतालवी	italiaanse	इतालवी	italiaans	PROPN;NOM;MASC;SG;3	ADJ
इतालवी	italiaan	इतालवी	italiaan	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
इतालवी	italiaans	इतालवी	italiaans	PROPN;NOM;MASC;SG;3	ADJ
निगरानी	surveillance	निगरानी	surveillance	N;NOM;FEM;SG;3	ADJ
प्रताप	pratap	प्रताप	pratap	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
राजस्व	inkomsten	राजस्व	inkomsten	N;NOM;MASC;SG;3	N;PL
राजस्व	ontvangsten	राजस्व	ontvangst	N;NOM;MASC;SG;3	N;PL
बांग्ला	bengaalse	बांग्ला	bengaals	PROPN;NOM;FEM;SG;3	ADJ
बांग्ला	bangla	बांग्ला	bangla	PROPN;NOM;FEM;SG;3	N;MASC+FEM;SG
बहादुर	bahadur	बहादुर	bahadur	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
बहादुर	moedig	बहादुर	moedig	PROPN;NOM;MASC;SG;3	ADJ
बहादुर	dapper	बहादुर	dapper	PROPN;NOM;MASC;SG;3	ADJ
बहादुर	dappere	बहादुर	dapper	PROPN;NOM;MASC;SG;3	ADJ
व्यवस्थित	organiseren	व्यवस्थित	organiseren	ADJ	V;NFIN
व्यवस्थित	ordenen	व्यवस्थित	orden	ADJ	V;NFIN
व्यवस्थित	organiseer	व्यवस्थित	organiseer	ADJ	V;SG;PRS;FIN
व्यवस्थित	georganiseerd	व्यवस्थित	organiseren	ADJ	V;V.PTCP
व्यवस्थित	georganiseerde	व्यवस्थित	organiseren	ADJ	V;V.PTCP
गौरव	pride	गौरव	pride	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
गौरव	trots	गौरव	trots	PROPN;NOM;MASC;SG;3	ADJ
गौरव	geëerd	गौरव	geveren	PROPN;NOM;MASC;SG;3	V;V.PTCP
गौरव	geëerde	गौरव	geëeren	PROPN;NOM;MASC;SG;3	ADJ
गौरव	gehuldigd	गौरव	huldigen	PROPN;NOM;MASC;SG;3	V;V.PTCP
गौरव	vereerd	गौरव	vereerd	PROPN;NOM;MASC;SG;3	V;V.PTCP
गौरव	glorieus	गौरव	glorieus	PROPN;NOM;MASC;SG;3	ADJ
गौरव	glorieuze	गौरव	glorieuz	PROPN;NOM;MASC;SG;3	ADJ
डॉक्टर	dokters	डॉक्टर	dokter	N;NOM;MASC;SG;3	N;PL
डॉक्टर	artsen	डॉक्टर	arts	N;NOM;MASC;SG;3	N;PL
टैग	taggen	टैग	taggen	N;NOM;MASC;SG;3	V;NFIN
टैग	labels	टैग	label	N;NOM;MASC;SG;3	N;PL
टैग	tags	टैग	tags	N;NOM;MASC;SG;3	INTJ
गणितीय	wiskundige	गणितीय	wiskundig	N;NOM;MASC;SG;3	ADJ
गणितीय	wiskundige	गणितीय	wiskundig	N;NOM;MASC;SG;3	ADJ
गणितीय	wiskundig	गणितीय	wiskundig	N;NOM;MASC;SG;3	ADJ
गणितीय	mathematische	गणितीय	mathematisch	N;NOM;MASC;SG;3	ADJ
जोड़ी	paar	जोड़ी	paar	V;PFV;FEM;SG;V.PTCP;ACT	N;NEUT;SG
जोड़ी	pair	जोड़ी	pair	V;PFV;FEM;SG;V.PTCP;ACT	N;MASC+FEM;SG
जोड़ी	paar	जोड़ी	paar	V;PFV;FEM;SG;V.PTCP;ACT	N;NEUT;SG
जोड़ी	koppel	जोड़ी	koppel	V;PFV;FEM;SG;V.PTCP;ACT	N;NEUT;SG
सबूत	bewijzen	सबूत	bewijzen	N;NOM;MASC;SG;3	V;NFIN
सबूत	bewijzen	सबूत	bewijzen	N;NOM;MASC;SG;3	V;NFIN
सटीक	nauwkeurigheid	सटीक	nauwkeurigheid	ADJ	N;MASC+FEM;SG
समाप्ति	voltooien	समाप्ति	voltooien	N;NOM;FEM;SG;3	V;NFIN
समाप्ति	afmaken	समाप्ति	afmaken	N;NOM;FEM;SG;3	V;NFIN
समाप्ति	beëindigen	समाप्ति	beëindigen	N;NOM;FEM;SG;3	V;NFIN
समाप्ति	verstrijken	समाप्ति	verstrijken	N;NOM;FEM;SG;3	V;NFIN
समाप्ति	eindigend	समाप्ति	eindigen	N;NOM;FEM;SG;3	V;V.PTCP
व्यापारी	koopman	व्यापारी	koopman	N;NOM;MASC;PL;3	N;MASC+FEM;SG
व्यापारी	handelaar	व्यापारी	handelaar	N;NOM;MASC;PL;3	N;MASC+FEM;SG
व्यापारी	zakenman	व्यापारी	zakenman	N;NOM;MASC;PL;3	N;MASC+FEM;SG
व्यापारी	handelaar	व्यापारी	handelaar	N;NOM;MASC;PL;3	N;MASC+FEM;SG
मद्रास	madras	मद्रास	madras	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
एजेंसी	agentschappen	एजेंसी	agentschap	N;NOM;FEM;SG;3	N;PL
एजेंसी	bureaus	एजेंसी	bureau	N;NOM;FEM;SG;3	N;PL
समग्र	aggregaat	समग्र	aggraat		N;NEUT;SG
समग्र	geaggregeerde	समग्र	geaggregeerde		V;V.PTCP
पड़े	twijfelachtige	पड़	twijfelachtig	V;PFV;MASC;SG;V.PTCP;ACT	ADJ
पड़े	twijfelachtig	पड़	twijfelachtig	V;PFV;MASC;SG;V.PTCP;ACT	ADJ
संगम	samenloop	संगम	samenloop	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
संगम	samenvloeiing	संगम	samenvloeiing	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
चार्ट	grafieken	चार्ट	grafiek	N;NOM;MASC;SG;3	N;PL
चार्ट	diagrammen	चार्ट	diagram	N;NOM;MASC;SG;3	N;PL
गरीब	arme	गरीब	arm	N;NOM;MASC;SG;3	ADJ
गरीब	arm	गरीब	arm	N;NOM;MASC;SG;3	ADJ
औषधि	medicijnen	औषधि	medicijn	N;NOM;FEM;SG;3	N;PL
औषधि	kruiden	औषधि	kruid	N;NOM;FEM;SG;3	N;PL
दत्त	dutt	दत्त	dut	PROPN;NOM;SG;3	N;MASC+FEM;SG
पराजित	verslagen	पराजित	verslag	ADJ	N;PL
बहु	meerdere	बहु	meerdere		PRO
बहु	meervoudige	बहु	meervoudig		ADJ
बहु	veelvoud	बहु	veelvoud		N;NEUT;SG
बहु	meervoudig	बहु	meervoudig		ADJ
बहु	poly	बहु	poly		N;MASC+FEM;SG
कायम	onderhouden	कायम	onderhouden	ADJ	V;V.PTCP
