категорија	kategooria
напредок	progress
напредок	edenemine
бригада	brigaad
принуден	sundis
принуден	sunnitud
жив	elusana
жив	elus
жив	elusalt
добиени	saadud
добиени	saadi
добиени	saadud
добиени	laekunud
добиени	tuletatud
штаб	staap
штаб	peakorter
парагвај	paraguay
страв	hirm
страв	hirmu
црвени	punane
црвени	punased
команда	käsk
команда	käsu
мајстор	meister
мајстор	õpetaja
мајстор	peremees
мајстор	isand
најголемо	suurim
најголемо	suurim
најголемо	suurim
ран	early
ран	vara
ран	varajane
ран	varajased
ран	varane
синови	pojad
традиции	traditsioonid
кинг	king
кинг	kuningas
кинг	kunn
бор	mänd
бор	männi
механизам	mehhanism
стратегија	strateegia
борци	võitlejad
борци	hävitajad
борци	võitlejad
формално	ametlikult
формално	formaalselt
формално	ametlik
формално	ametliku
сами	üksinda
сами	üksi
сами	sami
сами	saami
диплома	diplom
диплома	kraadi
диплома	kraad
гласање	hääletus
гласање	hääleta
гласање	hääletamine
гласање	hääletus
гласање	hääletamine
компоненти	komponendid
успеа	õnnestus
успеа	õnnestus
електрони	elektronid
стојан	stojan
кујна	köök
почит	lugupidamine
почит	austus
лекар	arst
лекар	arsti
лекар	arst
лекар	arsti
лекар	doktor
покажа	näitasid
покажа	näitas
бања	spa
бања	vannituba
бања	vanni
бања	vann
играше	mängis
играше	mänginud
играше	mängitud
вести	news
вести	uudis
вести	uudised
окупација	okupatsiooni
окупација	amet
хартија	paber
чита	loeb
гласот	hääl
гласот	hääle
гласот	häält
објасни	seleta
објасни	selgita
објасни	selgitada
објасни	selgitas
објасни	selgitati
објасни	selgitatud
детроит	detroiti
детроит	detroidi
детроит	detroit
погрешно	väär
погрешно	vale
погрешно	valesti
кислород	hapnik
кислород	hapnikku
коски	kondid
коски	luud
коски	luude
венец	pärg
различно	teistsugune
различно	erinevad
различно	erinev
признание	ülestunnistus
планирање	planeerimine
планирање	kavandamine
постигнат	saavutas
постигнат	jõuti
успешен	edukas
успешен	edukad
успешна	edukas
успешна	edukad
последователни	järjestikuse
позитивни	positiivsed
позитивни	positiivse
позитивни	positiivne
изрази	väljendatud
традицијата	traditsioon
традицијата	traditsioonid
соодветна	sobiv
соодветна	asjakohane
соодветна	kohane
соодветна	sobilik
правда	õiglus
правда	õigusemõistmine
популарен	populaarne
популарен	populaarsed
маркетинг	turustamise
маркетинг	turundus
маркетинг	turustamine
губи	kaotab
составени	koosneb
променлива	muutuja
променлива	muutuv
менаџмент	haldus
менаџмент	juhtkond
менаџмент	juhtimine
менаџмент	haldamine
сао	são
сао	sao
мисла	mõtlesin
мисла	arvas
мисла	arvasin
снимки	salvestisi
снимки	salvestused
бдп	skt
бдп	skp
бдп	rkt
членка	parlamendiliige
членка	liige
топлина	kuumus
топлина	soojus
топлина	soojuse
топлина	soojus
лајпциг	leipzigi
продавници	poed
продавници	poode
продавници	kauplused
продавници	poed
продавници	kauplustes
продавници	poode
продавници	kauplused
министри	ministrid
есента	sügis
стотици	sada
стотици	sajad
стотици	sadu
забава	lõbu
забава	lõbus
забава	fun
забава	party
забава	pidu
забава	erakond
забава	peole
забава	meelelahutus
списоци	nimekirjad
списоци	loetelud
нашиот	meie
откритија	avastusi
откритија	leiud
откритија	järeldused
обичаи	tolli
обичаи	toll
вон	von
вон	vaughn
извештаи	ettekanded
извештаи	aruanded
извештаи	raportid
чисто	puhtalt
чисто	puhas
чисто	selge
чисто	puhas
чисто	puhas
чисто	puhtaks
чисто	puhtad
остварување	saavutamine
остварување	saavutus
остварување	saavuta
остварување	saavutada
остварување	saavutamine
карти	kaardid
карти	piletid
поставува	komplektid
поставува	seab
бен	ben
тејлор	taylor
судан	sudaani
судан	sudaan
успеала	õnnestus
бори	haarde
кампанија	campania
спојување	ühinemine
спојување	liitumine
спојување	ühendamine
спојување	ühenda
спојување	ühendamine
спојување	liitmine
религии	religioonid
мечот	mõõk
кандидат	nominent
кандидат	kandidaat
унеско	unesco
масло	õli
масло	nafta
пее	laulab
пее	laulmine
волта	volta
сон	unistus
сон	dream
сон	unenägu
листови	lehti
листови	lehed
листови	lehed
листови	linad
сцени	stseenid
ученик	õpilane
ученик	tudeng
ученик	õpilane
ученик	üliõpilane
ученик	õpipoiss
машина	masin
машина	masina
процент	protsent
процент	protsent
натпреварувања	võistlustel
натпреварувања	võistlused
болка	valu
затворени	kinnine
затворени	suletud
иницијатива	algatuse
иницијатива	algatus
вработените	töötajad
ридот	hill
арабија	araabia
арабија	arabella
организирани	korraldatud
организирани	organiseeritud
организирани	organiseeritud
претставена	esindas
претставена	esindatud
претставена	kujutatud
претставена	esitletud
претставена	esitatud
двојна	topelt
установи	rajatised
установи	rajatiste
установи	ettevõtted
џејн	jane
атоми	aatomite
соѕвездија	tähtkujud
нормално	normaalne
демократија	demokraatia
равенки	võrrand
равенки	võrrandid
трупи	väed
извршил	pühendunud
блок	plokk
блок	bloki
блок	blokk
блок	block
дол	abiraha
дол	dol
дол	dahl
бек	beck
кембриџ	cambridge
шекспир	shakespeare
технологии	tehnoloogiad
технологии	tehnoloogiate
технологии	tehnoloogiaid
демографија	demograafia
трева	pada
трева	potti
трева	pott
трева	rohi
трева	muru
трева	kanep
трева	puru
филозофи	filosoofid
костур	skeleti
костур	luukere
опера	ooper
опера	ooperi
икони	ikoonid
политичко	poliitilised
политичко	poliitiline
дон	doni
дон	don
нација	rahvus
огромни	tohutu
огромни	hiiglaslik
огромни	tohutu
задржи	hoida
задржи	hoia
задржи	hoian
фифа	fifa
избегне	vältida
избегне	väldi
длабочина	sügavus
друштва	ühiskonnad
среќа	õnn
среќа	õnne
архитекти	arhitektid
отстранување	eemaldamine
отстранување	eemalda
отстранување	eemaldamine
отстранување	kõrvaldamine
работна	töötamine
лошо	bad
лошо	halb
лошо	paha
жак	jacques
сигурно	kindlasti
највисока	kõrgeim
папи	papi
ситуации	olukordi
ситуации	olukorrad
потрошувачите	tarbija
потрошувачите	tarbijad
свири	mängi
свири	mängib
свири	mängimas
свири	mängib
свири	mängimine
свири	mängivad
експерименти	eksperimendid
прогласена	deklareeritud
прогласена	kuulutatud
алатки	tööriistad
сопствени	oma
сопствени	kohandatud
заливот	laht
заливот	laht
заливот	bay
четврта	neljas
четврта	neljandaks
раѓањето	sünd
раѓањето	sünni
грчка	kreeka
филозофски	filosoofiline
имам	sain
имам	sai
трансфер	üleviimine
трансфер	ülekandmine
трансфер	ülekanne
трансфер	üleandmine
основен	põhi
основен	põhiline
евро	euro
глумец	näitleja
историско	ajalooline
историско	ajalooline
словени	slaavlased
класик	klassika
класик	klassikalised
класик	classic
класик	klassikaline
разбирање	arusaamine
разбирање	mõistmist
разбирање	mõistmine
разбирање	arusaam
дозволи	luba
дозволи	õigused
ниски	loosi
ниски	madal
ниски	madala
ниски	madalad
решенија	lahendused
решенија	lahused
соната	sonata
алкохол	alkohol
алкохол	alkoholi
петта	viies
петта	viiendaks
развиена	arenenud
развиена	arendatud
престој	elukoht
престој	elukoha
престој	elamine
престој	residentsuse
бендови	ajavahemikku
коста	costa
целите	eesmärgid
лента	lane
лента	lindi
лента	lint
лента	linti
лента	pael
лента	paela
естонија	eesti
естонија	estonia
танц	tantsu
танц	tants
танц	tantsi
танц	tantsida
танц	tantsimine
очигледно	ilmselge
очигледно	ilmne
очигледно	ilmselt
очигледно	nähtavasti
очигледно	ilmselgelt
очигледно	selgesti
очигледно	selgelt
очигледно	ilmselgelt
мотор	mootor
мотор	ratas
мотор	jalgratas
мотор	ratta
мотор	mootorratas
мотор	mootorratta
мотор	mootor
двојки	paaride
двојки	paarid
двојки	paarismängu
побрзо	kiirem
побрзо	kiiremini
уништување	hävitamine
републиката	vabariik
монархија	monarhia
значења	tähendusi
значења	tähendus
сол	soola
сол	sool
завршена	lõpetatud
бета	beta
бета	beeta
служби	teenused
дур	tasane
дур	lame
еднаков	võrdsed
еднаков	võrdne
проф	prof
доделена	omistatud
доделена	määratud
закана	oht
закана	ähvardus
вистината	tõde
критичарите	kriitikud
колекција	kogu
колекција	kollektsioon
колекција	kogumine
водич	juhend
водич	giid
химна	hümn
химна	hümn
ману	manu
пракса	harjutamine
пракса	tava
пракса	praktika
риген	rügen
богат	rikkaks
богат	rikkad
богат	rikkalik
богат	rich
богат	rikas
замени	asendajad
замени	asendatud
замени	asendatakse
замени	asenda
замени	asendus
замени	asendatakse
замени	asendamine
сопствена	oma
инспирација	inspiratsiooni
инспирација	inspiratsioon
брајан	brian
брајан	bryan
помошник	abiline
помошник	assistent
помошник	abiline
завет	covenant
завет	testament
капетан	kapten
зима	talv
коментари	kommentaarid
коментари	märkused
ретки	harv
ретки	harva
ретки	haruldased
ретки	haruldane
дадено	antud
настава	õpetamine
настава	õpetamise
настава	klassid
настава	tunnid
оптички	optiline
оптички	optilised
основано	asutatud
основано	rajatud
патријаршија	patriarhaat
читање	loe
читање	lugemine
читање	loetud
читање	lugemine
читање	lugemist
количини	summad
количини	kogused
обединето	ühtne
обединето	united
обединето	ühinenud
кан	kahn
кан	khan
кан	kan
кан	cannes
водолија	veevalaja
евровизија	eurovisiooni
југоисточно	kagu
ограничена	piiratud
ограничена	limited
фондови	fondid
редовен	korrapärane
редовен	regulaarsed
редовен	tavaline
редовен	korrapärased
редовен	regulaarne
тутун	tubakas
пристигнал	saabusid
пристигнал	saabunud
пристигнал	saabus
напиша	kirjutasin
напиша	kirjutasid
напиша	kirjutas
часовник	vaata
часовник	jälgi
часовник	kell
часовник	kella
адам	adam
мотиви	motiivid
мотиви	motiivid
подготовка	valmistamine
подготовка	ettevalmistamine
подготовка	ettevalmistus
подготовка	ettevalmistamine
одбрани	valitud
одмор	puhkus
развиени	arenenud
развиени	arendatud
персија	pärsia
атп	atp
напред	ettepoole
напред	edasi
напред	ees
напред	ette
напред	rinne
алан	allan
алан	alan
френк	frank
френк	franki
победникот	võitja
шаховска	male
одгледување	kasvatamine
железо	raud
железо	raua
виетнам	vietnam
виетнам	vietnami
виетнам	nam
тајна	saladus
тајна	salajane
тајна	secret
следење	jälgimine
конструкција	ehitamine
конструкција	ehitus
конструкција	konstruktsioon
жолта	kollase
жолта	kollased
жолта	kollane
изгради	ehita
изгради	ehitama
изгради	ehitada
изгради	ehitamine
потполно	täielikult
потполно	täiesti
помине	möödub
помине	läbib
помине	kuru
југозападно	edela
југозападно	edela
терапија	teraapia
терапија	ravi
терапија	ravile
професионални	professionaal
професионални	professionaalne
професионални	ametialane
следува	järgneb
следува	tulekul
следува	tulemas
следува	tuleb
панк	punk
дознава	õpib
ослободен	vabanenud
ослободен	vabastatud
правилно	korralikult
локално	kohalikult
локално	lokaalselt
локално	kohapeal
локално	kohalik
локално	kohalikud
етничка	etniline
изведена	sooritatud
изведена	läbiviidud
изведена	teostas
изведена	teostatud
спас	lunastus
спас	päästmine
спас	päästa
спас	pääste
хип	hip
хип	puus
хип	puusa
чувства	tundeid
чувства	tunded
сериозно	tõsiselt
асистент	abiline
асистент	assistent
потпишан	allkirjastatud
потпишан	allkirjastanud
потпишан	pitseeritud
меморија	memory
меморија	mälu
меморија	mälestus
руско	vene
руско	venelane
руско	russo
воведување	sissejuhatus
третман	töötlus
третман	ravi
третман	töötlemine
третман	ravile
црвениот	punapea
стивен	stephen
стивен	steven
практика	harjutamine
практика	tava
практика	praktika
шири	levib
шири	levinud
шири	levis
шири	levik
шири	levib
видел	näinud
возрасните	täiskasvanud
достигнува	jõuab
искористи	use
искористи	kasutamine
искористи	kasutamiseks
искористи	kasuta
искористи	kasutus
турнири	turniiridel
доменот	domeeni
доменот	valdkond
финансирање	finantseerimine
финансирање	rahastamine
финансирање	rahastamine
финансирање	rahastada
финансирање	rahandus
алжир	alžiir
алжир	alžeeria
примерок	proovi
примерок	valim
примерок	näidis
примерок	proov
примерок	isend
примерок	näidis
племе	hõim
племе	hõimu
предава	õpetab
алекс	alex
борбите	võitlemine
борбите	võitlus
примени	rakenda
примени	kehti
цирих	zürichi
цирих	zürich
изговор	hääldus
букурешт	bukaresti
џозеф	joseph
џозеф	joosep
шарл	charles
харц	harz
тенденција	kalduvus
североисточно	kirde
јаглерод	süsinik
нашол	leidis
нашол	leiti
нашол	leitud
лет	lendu
лет	lennu
лет	lend
учи	õppima
учи	õpime
учи	õppida
учи	õpi
коњи	hobused
коњи	hobuseid
достигна	saavutas
достигна	jõuti
шведски	rootsi
чекори	astmed
чекори	sammud
боб	bob
игор	igor
членство	liikmeks
бога	jumal
господ	jumal
маси	lauad
маси	tabelid
акт	reus
акт	akt
акт	tegutsema
акт	act
млада	noored
млада	young
млада	noor
тежок	rasked
тежок	raske
тежок	raskel
тежок	keeruline
тежок	raske
топката	ball
топката	pall
топката	palli
првенствено	peamiselt
умот	meel
умот	meele
умот	mõistus
геометрија	geomeetria
партнер	partner
партнер	paarimees
услов	nõue
услов	seisukord
услов	tingimus
услов	seisund
велејќи	ütlemine
редовите	ridades
редовите	read
електронска	elektron
случајно	juhuslik
случајно	suvaline
случајно	juhuslik
случајно	kogemata
случајно	suvaliselt
случајно	juhuslikult
случајно	juhuslikult
фленсбург	flensburgi
ограничувања	piirangud
ограничувања	piirangud
ограничувања	piirmäärad
ограничувања	piirid
ограничувања	piirangud
ограничувања	piirangud
ханс	hans
одлучил	otsustas
одлучил	otsustanud
одлучил	otsustatud
гасови	gaasid
селани	külaelanikud
сигнал	signaal
сигнал	signaali
сигнал	märguanne
хоп	hoop
постари	eakad
постари	vanem
постари	vanemad
водечки	juhtiv
водечки	suunav
водечки	plii
дрога	uimastid
дрога	narkootikumid
дрога	narkootikum
дрога	uimasti
џонсон	johnson
барањето	palve
барањето	taotlus
барањето	päring
двојно	topelt
двојно	kahene
предводени	led
предводени	juhtis
предводени	juhitud
паднал	kukkus
приход	tulud
приход	tulu
приход	sissetulek
приход	tulu
чај	teed
чај	tee
дале	andis
сестри	õed
културна	kultuurilised
културна	kultuuriline
цивилизација	tsivilisatsioon
цивилизација	tsivilisatsiooni
цивилизација	tsivilisatsioon
цивилизација	tsivilisatsiooni
плата	palk
плата	töötasu
плата	plata
натпреварува	konkureerib
натпреварува	konkureerivate
натпреварува	konkureerivad
изложба	näitus
кралска	kuninglik
кралска	royal
кралска	kuninglikud
млеко	piima
млеко	piim
орел	eagle
орел	kotkas
орел	aquila
ислам	islam
класичен	klassika
класичен	klassikalised
класичен	classic
класичен	klassikaline
шема	muster
шема	mustri
шема	skeem
шема	kava
единство	ühtsus
единство	ühtsuse
анализи	analüüsid
анализи	analüüsi
анализи	analüüs
домови	kodud
развивање	arendada
развивање	väljatöötamine
развивање	arendamine
развивање	areneb
ширење	levib
ширење	levitamine
превоз	ratsutada
превоз	sõit
превоз	transport
превоз	shipping
сталин	stalin
сталин	stalini
динамо	dünamo
верување	uskudes
верување	uskumine
рома	roma
комбинации	kombinatsioonid
ангел	angel
ангел	ingel
брус	bruce
подобар	parem
подобар	paremad
подобар	paremini
народите	rahvaste
народите	rahvad
дизни	disney
донел	donnell
адолф	adolf
постоечките	olemasolevad
постоечките	olemasolev
џамии	mošeesid
потврди	kinnitatud
потврди	kinnitus
потврди	kinnitada
потврди	kinnitan
потврди	kinnita
убие	tapa
убие	tappa
близината	lähedus
постар	vanem
постар	vanem
постар	vanem
постар	vanemad
развиен	arenenud
развиен	arendatud
развиен	arenenud
борец	võitleja
основачите	asutajad
органски	orgaaniline
органски	orgaanilised
органски	orgaaniliste
затворена	kinnine
затворена	suletud
масовно	missa
масовно	massi
масовно	mass
елизабет	elizabeth
елизабет	elisabeth
остави	jäta
вкус	maitse
вкус	maitsed
вкус	maitse
биологија	bioloogia
прстен	rõngas
прстен	ring
прстен	sõrmuse
прстен	sõrmus
богати	rikkaks
богати	rikkad
богати	rikkalik
богати	rich
богати	rikas
изведени	tuletatud
гувернер	kuberner
мек	mack
мек	mac
повисока	kõrgemale
повисока	kõrgemad
повисока	kõrgem
бег	bei
нарушување	häired
заштитени	kaitstud
архангел	peaingel
андромеда	andromeeda
кругови	ringid
повик	kõne
треска	palavik
рис	reese
рис	rhys
рис	ilves
прошири	laiendada
романски	rumeenia
стандарден	vaikimisi
стандарден	standardne
стандарден	standard
поставување	seadistus
поставување	seadistamine
поставување	seadistus
поставување	asetus
поставување	paigutamine
поставување	paigutus
одлучи	otsustas
одлучи	otsustanud
одлучи	otsustatud
одлучи	otsustama
одлучи	otsusta
светло	hele
светло	valgus
светло	valgust
светло	kerge
светло	hele
светло	ere
централно	tsentraalselt
централно	kesksed
централно	kesk
централно	keskosa
централно	keskne
сателитска	satelliit
побарувачка	nõudlus
побарувачка	nõudmine
литературен	kirjandus
организирана	korraldatud
организирана	organiseeritud
именувана	nimetatud
именувана	nimega
дрезден	dresdeni
паоло	paolo
мотори	mootorrattad
мотори	mootorid
мотори	motors
мотори	mootorid
мотори	rattad
автономија	autonoomia
автономија	sõltumatus
достигнувања	saavutused
бугари	bulgaarlased
советник	konsultant
советник	nõuandja
советник	nõunik
советник	nõustaja
советник	nõunik
модерна	tänapäeva
модерна	moodne
модерна	kaasaegne
говорот	sõnavõtt
говорот	kõne
кандидати	kandidaadid
намена	eesmärk
намена	otstarve
алфред	alfred
придонеси	panus
придонеси	sissemakse
постигнати	saavutati
постигнати	saavutatud
нападнал	tungis
нападнал	rünnatud
надеж	loodan
надеж	lootus
проценка	hindamine
проценка	hinnang
проценка	hinnang
проценка	hindamine
проценка	hinnang
собираат	koguda
собираат	koguma
богот	jumal
натпис	etikett
натпис	pealdis
натпис	märgistus
натпис	märgis
иванов	ivanov
приватен	reamees
приватен	privaatne
приватен	era
приватен	erasektori
автомобил	auto
автомобил	car
организиран	korraldatud
организиран	organiseeritud
организиран	organiseeritud
квалификациите	kvalifitseeruvad
пливање	ujumine
најпосле	lõpuks
губење	kaotamine
губење	kahjum
губење	kaotus
влегле	kantud
влегле	sisestatud
стрип	koomiksid
стрип	koomikseid
стрип	koomiks
топка	ball
топка	pall
топка	palli
ограничен	piiratud
ограничен	limited
ограничен	piiratud
прима	prima
графички	graafiline
графички	graafiline
погледи	vaated
погледи	seisukohad
патници	reisijad
патници	reisijad
патници	rändurid
исак	isaac
роџер	roger
работниците	töötajad
работниците	töölised
паралелно	paralleelsed
паралелно	paralleelne
паралелно	paralleelselt
френсис	francis
френсис	frances
факти	fakte
факти	faktid
веројатноста	tõenäosus
студент	tudeng
студент	õpilane
студент	üliõpilane
авион	jet
авион	lennuk
авион	lennuk
повлекување	taganeda
повлекување	tagasivõtmine
повлекување	tühistamise
лична	isiklik
лична	isiklikud
организирање	organiseerida
организирање	korraldamine
организирање	korraldamine
размножување	paljundamine
средини	keskkondade
северозапад	northwesterni
северозапад	kirde
северозапад	loode
кларк	clarke
кларк	clarki
кларк	clark
детството	lapsepõlv
детството	lapsepõlve
детството	lapsepõlves
овен	jäär
муслимански	moslem
муслимански	moslemi
привремено	ajutiselt
привремено	ajutised
привремено	ajutine
грците	kreeklased
поединци	üksikisikute
поединци	üksikisikud
ото	otto
советска	nõukogude
советска	nsv
спортска	sportlik
лиеж	liège
просечна	keskmine
парчиња	lõigud
парчиња	viilud
парчиња	bitti
парчиња	tükid
изјава	avaldus
турско	türgi
директен	otsene
директен	vahetu
директен	direct
директен	otsesed
атмосфера	atmosfääri
атмосфера	atmosfäär
самостојна	solo
самостојна	soolo
политики	poliitikad
политики	poliitika
километар	kilomeeter
километар	kilomeeter
мајк	mike
морнарица	mereväe
морнарица	merevägi
пакети	paketid
пакети	pakid
пакети	pakendid
пакети	paketid
растение	taim
растение	taime
растение	tehas
ернст	ernst
франсоа	francois
франсоа	françois
ноулс	knowles
распределба	jaotamine
распределба	eraldamine
распределба	jaotamine
распределба	jaotus
распределба	jaotumine
надзор	järelvalve
надзор	järelevalve
надзор	järelevalve
надзор	järelevalve
антон	anton
продадени	müüdud
офицер	politseinik
офицер	ohvitser
сценарио	stsenaarium
сценарио	skripti
сценарио	käsikiri
сценарио	skript
купување	ostu
купување	ostmine
купување	ost
купување	poodi
купување	ostes
купување	ostmine
југозапад	edela
падини	jalamil
разбира	mõistab
текстописец	laulukirjutaja
откриена	katmata
откриена	avastatud
откриена	avastasin
откриена	avastas
откриена	tuvastati
откриена	tuvastatud
откриена	avastatud
откриена	avastati
откриена	paljastatud
скот	scott
поединечно	individuaalselt
поединечно	üksikult
поединечно	eraldi
поединечно	vallalised
обнова	uuendamine
обнова	pikendamine
раскажува	ütleb
професори	professorid
нуклеарна	tuuma
нуклеарна	tuumaenergia
сергеј	sergei
сергеј	sergei
либек	lübeck
внук	vennapoeg
внук	õepoeg
внук	lapselaps
внук	pojapoeg
следен	järgmiseks
следен	järgmisena
следен	järgmine
следен	next
побара	taotletud
побара	nõutud
побара	taotles
побара	soovitud
четврти	neljas
четврти	neljandaks
остана	jäin
остана	jäi
остана	jäid
остана	jäi
остана	jäid
токио	tokyo
рос	rossi
рос	ross
успешни	edukas
успешни	edukad
критичар	kriitik
кели	kelly
милји	miles
милји	miili
соработник	kaastöötaja
соработник	partner
дванаесет	twelve
дванаесет	kaksteist
регистрирани	registreeritud
регистрирани	registreerinud
војник	sõdur
изразува	väljendab
изразува	väljendades
грижи	mured
грижи	hoolib
одбива	keeldumine
одбива	keeldub
планета	planet
планета	planeet
рудолф	rudolph
рудолф	rudolf
музичко	muusikal
музичко	musical
салата	salatit
салата	salat
теодосиј	theodosius
блуз	blues
траги	rajad
траги	jäljed
траги	rajad
траги	vihjed
траги	jäljed
траги	traces
траги	jälg
траги	rada
правци	marsruudid
повисоки	kõrgemale
повисоки	kõrgemad
повисоки	kõrgem
директна	otsene
директна	vahetu
директна	direct
директна	otsesed
портрет	portree
горан	goran
клиенти	klientidele
клиенти	kliendid
клиенти	kliendid
постапки	toimingud
постапки	meetmed
постапки	tegevused
постапки	teod
сто	sada
сто	wto
посетители	külastajad
посетители	külalised
посетители	külastaja
посетители	külaline
реши	lahenda
реши	lahendada
константа	pidev
отсуство	puudumine
хаус	house
хаус	majja
хаус	maja
толкување	tõlgendus
толкување	tõlgendamine
толкување	tõlgendada
мешавина	mix
мешавина	segu
јанг	yan
јанг	yang
јанг	noored
јанг	young
јанг	noor
јанг	jung
јанг	yung
југоисток	kagu
ибн	ibn
агент	agent
латвија	läti
копенхаген	kopenhaageni
копенхаген	kopenhaagenis
загуба	kahjum
загуба	kaotus
заболувања	haigused
заболувања	haigused
одржана	hoitud
сицилија	sitsiilia
стихови	värsid
стихови	sõnad
стихови	sõnu
студирал	uuritud
сингапур	singapuri
сингапур	singapuris
решава	lahendab
воспоставување	asutamine
воспоставување	kehtestamine
приватна	reamees
приватна	privaatne
приватна	era
приватна	erasektori
кориснички	kasutaja
математичар	matemaatik
кевин	kevin
дупка	auk
дупка	auku
актери	näitlejad
трговци	ettevõtjad
трговци	kauplejad
трговци	kaupmehed
трговци	kaupmehed
трговци	müüjad
локален	kohalik
локален	kohalikud
братство	vennaskonna
братство	korporatsioon
братство	vennaskond
братство	vennaskond
самогласка	täishäälik
револуционери	revolutsionäärid
ама	aga
ама	kuid
продава	müüb
врата	uks
кастилја	castilla
секс	sugu
секс	seks
секс	sex
келн	kölni
шкотски	šoti
овошје	puuviljad
овошје	vili
овошје	puuvili
овошје	puuvilja
овошје	viljad
овошје	puuviljad
нејзини	oma
погребан	maetud
ахмед	ahmed
соработници	partnerid
простории	ruumid
себастијан	sebastian
себастијан	sebastián
инфлацијата	inflatsioon
регионални	regionaalne
регионални	piirkondlik
регионални	piirkondlikud
храни	sööt
храни	sööta
храни	sööda
храни	toidab
плус	plus
плус	pluss
саудиска	saudi
олимпијада	olümpiaadil
олимпијада	olümpiamängud
темелите	sihtasutuste
стабилност	püsivus
стабилност	stabiilsus
марка	brand
програмски	kavandamine
прифатен	vastuvõetud
прифатен	aktsepteeritud
прифатен	leppis
лоренс	laurence
лоренс	lawrence
филозоф	filosoof
дробови	kopsud
мозок	ajju
мозок	aju
мозок	ajud
властите	võimud
властите	ametiasutused
властите	asutused
властите	ametivõimud
македонец	makedoonia
етика	eetika
правење	tegemine
академски	akadeemiline
академски	akadeemilise
вратот	kaela
вратот	kael
слават	tähistada
слават	tähistame
слават	tähista
слават	tähistama
станаа	sai
возрасни	kasvanud
возрасни	kasvatatud
возрасни	täiskasvanud
возрасни	täiskasvanu
возрасни	täiskasvanud
селски	küla
селски	külas
оставка	tagasiastumisega
франко	franco
хипотеза	hüpotees
зголемена	suurenenud
зголемена	suurendatud
мајами	miami
составено	koosneb
пристаништето	port
пристаништето	sadam
клиентот	kliendi
клиентот	klient
џими	jimmie
џими	jimmy
орден	orden
фреквенција	esinemissagedus
фреквенција	sagedus
слабо	nõrk
слабо	nõrga
слабо	nõrgad
слабо	kehvasti
слабо	halvasti
сопствен	oma
течност	vedeliku
течност	vedelik
течност	vedel
течност	vedelik
фер	fer
фер	õiglane
фер	aus
фер	laat
буквално	sõnasõnaline
човештвото	inimkond
леб	leib
леб	leiba
порази	võidetud
порази	löödud
североисток	kirde
освојувачи	sissetungijad
вооружени	relvastatud
агли	nurgad
агли	nurgad
корени	juured
промовира	edendab
прифаќа	nõustub
прифаќа	aktsepteerib
објавување	avaldamise
објавување	avaldamine
правен	legaalne
правен	õiguslik
правен	seaduslik
тестирање	katsed
тестирање	testimine
тестирање	katsetamine
мртви	surnud
ограничени	piiratud
ограничени	limited
џовани	giovanni
столб	sammas
столб	samba
онлајн	võrgus
онлајн	online
марсеј	marseille
марсеј	marseille
учењето	õppimine
учењето	õppimine
специјална	erilised
специјална	special
специјална	eriline
накит	juveelid
накит	ehted
накит	ehteid
накит	ehted
чувствува	tundub
чувствува	tunneb
албанците	albaanlased
офицери	ohvitserid
практично	praktiliselt
ниско	madal
ниско	madala
ниско	madalad
лиценца	litsents
лиценца	litsents
лиценца	load
изложби	näituste
домашните	riigisisesed
домашните	kodumaine
метар	meetri
метар	meeter
метар	meetri
метар	meeter
протоколи	protokollid
одредува	täpsustada
одредува	täpsustab
одредува	määrab
рафаел	raphael
рафаел	rafael
живеалиште	elupaikade
живеалиште	elupaiga
живеалиште	elukoht
живеалиште	elukoha
живеалиште	elamine
живеалиште	residentsuse
гледачи	vaatajad
независен	sõltumatud
независен	iseseisev
независен	sõltumatu
воведен	tutvustas
воведен	tutvustati
димитров	dimitrov
авила	ávila
бактерии	lestad
бактерии	bakterid
аудио	audio
аудио	heli
вклучена	kihlatud
сигнали	signaale
сигнали	signaalid
строго	rangelt
мароко	maroko
зоран	zoran
искуства	kogemused
предлогот	ettepanek
променливи	muutuja
променливи	muutuv
променливи	muutujad
свеста	teadlikkus
свеста	teadlikkust
појавување	välimus
појавување	esinemise
појавување	esinemine
определен	kindlaksmääratud
способни	võimeline
палестина	palestiina
зачувување	säilita
зачувување	päästmine
зачувување	salvestamine
зачувување	säästmine
зачувување	säilitamine
зачувување	säilimine
зачувување	salvestamine
зачувување	salvesta
железница	raudtee
железница	rail
железница	raudtee
железница	raudtee
железница	raudteid
источни	ida
поддржува	toetab
локации	asukohad
уништени	hävinenud
уништени	hävitatud
уништени	hävinud
уништени	rikutud
уништени	rikkus
вирџинија	virginia
вирџинија	virginias
спаси	salvestamine
спаси	salvesta
спаси	päästetud
спаси	salvestatud
спаси	päästis
престол	troon
престол	trooni
постариот	vanem
колеги	kolleegid
пожар	tuli
пожар	tulekahju
пожар	tuld
хотел	hotell
хотел	hotel
позитивен	positiivsed
позитивен	positiivse
позитивен	positiivne
југозападна	edela
југозападна	edela
гребен	riff
претставување	sissejuhatus
претставување	esindus
претставување	esindatus
рејтинг	hinnang
рејтинг	reiting
атом	aatom
градини	aiad
зависно	sõltuv
зависно	sõltuvad
вклучи	kaasamine
дејства	toimingud
дејства	meetmed
дејства	tegevused
дејства	teod
енди	andie
енди	andi
енди	andy
индиски	india
индиски	indiaanlane
услуга	teene
