भित्ति	väggmålning
प्लेटों	tallrikar
प्लेटों	plattor
सिरा	sira
प्रमाणन	intyg
प्रमाणन	certifiering
खरीदी	inköpt
खरीदी	inköpta
खरीदी	köpta
खरीदी	köpt
खरीदी	köptes
खरीदी	köpte
खरीदी	köpta
खरीदी	köpt
मिटा	sudda
मिटा	radera
दुखी	eländiga
दुखी	olycklig
दुखी	tråkigt
दुखी	sad
दुखी	tragiskt
दुखी	ledsen
दुखी	sorgligt
न्यूट्रॉन	neutron
हारे	lösare
निरीक्षक	arbetsledare
निरीक्षक	observatören
निरीक्षक	observatör
अल्फ़ा	alpha
अल्फ़ा	alfa
हैरिस	harris
सावधान	diskret
सावधान	diskreta
गियर	växel
गियर	redskap
गियर	gear
राजतंत्र	monarki
राजतंत्र	monarkin
अंडाकार	elliptisk
सर्कस	cirkusen
सर्कस	cirkus
सर्कस	circus
अल्बानिया	albanien
हीलियम	helium
बादाम	almond
बादाम	mandel
बादाम	mandlar
बादाम	mandel
निष्कर्षों	fynd
नागा	naga
प्राचल	parametern
प्राचल	parameter
कामकाज	hushållsarbete
कामकाज	fungerande
मिनेसोटा	minnesota
पृथक्करण	segregation
अंडा	egg
अंडा	ägg
परवेज़	pervez
एलर्जी	allergi
माइक्रो	micro
माइक्रो	mikro
वर्दी	uniformer
वर्दी	enhetlig
वर्दी	enhetligt
वर्दी	uniform
वर्दी	enhetliga
उत्कृष्टता	perfektion
सूर्यास्त	solnedgång
सूर्यास्त	solnedgången
सूर्यास्त	sunset
ताँबा	koppar
ऐश	ash
ऐश	aska
कैलोरी	kalorier
कैलोरी	kalorier
कैलोरी	cal
ईमानदारी	ärlighet
ईमानदारी	allvar
ईमानदारी	uppriktighet
ईमानदारी	ärlighet
मताधिकार	franchise
वृत्ताकार	cirkulär
निर्वासित	laglös
निर्वासित	utvisa
सरस	saftig
सरस	saftigt
सरस	saftiga
स्ट्रिंग	snöre
स्ट्रिंग	sträng
स्ट्रिंग	string
स्फटिक	kvarts
बुनाई	vävning
बुनाई	stickning
विवाहित	gifta
विवाहित	gifte
विवाहित	gift
आभा	aura
ईद	eid
मांसाहारी	köttätande
बॉन	bonn
बॉन	bon
पाँव	fot
पाँव	fötterna
पाँव	fötter
द्वेष	hat
द्वेष	illvilja
रेखांकित	underströk
रेखांकित	understryker
रेखांकित	understryka
रेखांकित	betona
कॉलम	kolumn
कॉलम	spalt
कॉलम	kolonn
कॉलम	kolumnerna
कॉलम	kolumner
समस्थानिक	isotop
चट्टोपाध्याय	chatterjee
कहावत	ordspråk
कहावत	maxim
टेड	ted
समष्टि	mellanslag
समष्टि	rymd
समष्टि	rymden
समष्टि	utrymme
समुद्रतल	havsbotten
दुर्घटनाओं	olycksfall
दुर्घटनाओं	olyckor
शायरी	poesi
टेलीग्राफ	telegraph
प्रत्याशी	kandidat
आवेग	slagkraft
आवेग	drivkraft
आवेग	impuls
मुंडा	munda
बर्नार्ड	bernard
बर्नार्ड	bernhard
बर्नार्ड	barnard
अध्यात्म	andlighet
सचेत	medvetet
सचेत	medveten
सचेत	medvetna
सचेत	medvetande
एमिनेम	eminem
सुनी	lyssnade
सुनी	lyssnat
किशोरों	tonåringar
धर्मार्थ	välgörenhetsorganisation
धर्मार्थ	välgörenhet
धर्मार्थ	välgörenhetsorganisationer
धर्मार्थ	välgörenhetsorganisation
धर्मार्थ	välgörenhet
डेव	dave
पारा	mercury
पारा	kvicksilver
पारा	para
हार्ले	harley
पेंट	måla
पेंट	färg
पेंट	målarfärg
निदेशालय	direktoratet
सोन	sonen
सोन	son
नीलामी	auktion
नीलामी	auktioner
पट्टे	leasing
पट्टे	hyreskontrakt
नाटो	nato
ब्रह्मचर्य	kyskhet
ब्रह्मचर्य	celibat
ग्लेन	glen
ग्लेन	glenn
विरल	sporadisk
विरल	sällsynta
विरल	sällsynt
पिया	drack
पिया	druckit
आयामी	dimensionell
पोर्टफोलियो	portföljen
पोर्टफोलियो	portfölj
नवाचार	nyskapande
नवाचार	innovationer
नवाचार	innovation
डायमंड	diamond
डायमंड	diamant
महंगी	dyra
महंगी	dyr
महंगी	dyrt
फ्रायड	freud
तर्कसंगत	rationellt
तर्कसंगत	rationell
तर्कसंगत	rationella
पीना	dricka
पीना	supa
पीना	dricker
पीना	drickande
पीना	dryck
पीना	drick
पीना	dricker
पीना	supa
पीना	dricka
स्ट्रिप	remsor
स्ट्रिप	strippa
संलयन	fusion
अब्दुल्ला	abdullah
वर्जिन	oskuld
वर्जिन	virgin
वर्जिन	jungfru
डेप	depp
चक्रों	chakra
सिन्धी	sindhi
मानकीकृत	standardiserade
मानकीकृत	standardiserad
मानकीकृत	standardiserat
मुहाफ़ज़ाह	guvernementet
प्रोसेसिंग	beredning
प्रोसेसिंग	förädling
प्रोसेसिंग	bearbetning
प्रोसेसिंग	bearbetar
अवस्थिति	placering
अवस्थिति	placeringen
अवस्थिति	platsen
अवस्थिति	läge
अवस्थिति	plats
अवस्थिति	platser
वार्मिंग	uppvärmning
वार्मिंग	uppvärmningen
वार्मिंग	värmande
वार्मिंग	värmer
मार्गदर्शक	vägledning
मार्गदर्शक	guiden
मार्गदर्शक	vägvisare
मार्गदर्शक	guide
विभिन्नता	variation
ढोल	trumma
क्वार्क	quark
राजसी	majestic
राजसी	majestätiska
राजसी	regal
टिकाऊ	hållbara
टिकाऊ	hållbart
टिकाऊ	hållbar
टिकाऊ	varaktigt
टिकाऊ	hållbart
टिकाऊ	varaktig
टिकाऊ	varaktiga
क्रोमियम	krom
कूप	coupe
एकरूपता	enhetlighet
कीन	keane
स्टेनली	stanley
सिन्ध	sindh
लेखनी	pen
लेखनी	penna
लेखनी	pennan
वक्ष	bröstkorg
वक्ष	bröstkorgen
अखबारों	dagstidningar
अखबारों	tidningar
मध्यस्थता	skiljedom
मध्यस्थता	medling
मध्यस्थता	medlingen
सोल	sol
किक	sparka
किक	spark
किक	kick
धड़कन	beat
धड़कन	slå
धड़कन	hjärtslag
धड़कन	slå
छल्ले	ringarna
छल्ले	rings
छल्ले	ringar
क्रेन	kran
क्रेन	crane
आखरी	senast
आखरी	senaste
आखरी	sista
आखरी	sist
क्षेत्ररक्षण	kaptenen
क्षेत्ररक्षण	captain
क्षेत्ररक्षण	kommendör
क्षेत्ररक्षण	kapten
क्षेत्ररक्षण	fielding
लिली	lili
लिली	lilly
लिली	lily
लिली	lilja
बेली	bailey
बेली	magen
बेली	mage
ग्रहीय	planetens
मॉनिटर	bildskärm
मॉनिटर	övervaka
मॉनिटर	övervakare
मॉनिटर	monitor
कोक	coke
कोक	kola
कोक	koks
कोक	cola
मेलबोर्न	melbourne
करुणा	vänlighet
अकसर	ofta
मशरूम	svampar
मशरूम	svamp
मशरूम	svampar
मशरूम	svamp
शांतिपूर्ण	fridfullt
शांतिपूर्ण	fredlig
शांतिपूर्ण	fredligt
शांतिपूर्ण	fridfull
शांतिपूर्ण	fredliga
गरुड़	garuda
फ्लू	influensa
फ्लू	influensan
नरक	hell
नरक	helvete
नरक	helvetet
ट्री	träd
ट्री	trädet
बेलन	cylinder
बोलना	talande
बोलना	talar
अवरोधित	blockerade
अवरोधित	blockerat
अवरोधित	blockeras
अवरोधित	blockerad
अवरोधित	spärrad
आत्मविश्वास	självsäker
आत्मविश्वास	förtroendet
आत्मविश्वास	självförtroende
आत्मविश्वास	förtroende
कुपोषण	undernäring
लापता	saknar
लापता	saknas
लापता	saknade
लापता	saknad
लापता	försvunnen
नूर	noor
कंटेनर	container
कंटेनर	behållare
राई	rai
दुश्मनों	ovänner
दुश्मनों	fiender
वाइड	breda
वाइड	bred
वाइड	brett
वाइड	wide
फर्नीचर	inventarier
फर्नीचर	möbler
वारिस	arvinge
वारिस	arvtagare
वारिस	arvingar
वारिस	arvtagare
वारिस	waris
आधुनिकीकरण	moderniserade
आधुनिकीकरण	modernisering
परिवर्तनशील	rörlig
परिवर्तनशील	variabeln
परिवर्तनशील	variabel
परिवर्तनशील	varierande
मच्छर	mygga
अनजान	okända
अनजान	okänd
अनजान	okänt
ग्रांट	bevilja
ग्रांट	grant
मैग्नीशियम	magnesium
सनी	soligt
सनी	solig
सनी	soliga
प्लेटफॉर्म	plattformen
प्लेटफॉर्म	plattform
घुस	penetrera
भावुक	känslomässiga
भावुक	känslomässigt
भावुक	emotionell
भावुक	känslomässig
भावुक	emotionellt
भावुक	sentimental
भावुक	sentimentala
कैन	cain
कैन	cannes
घोटाला	skandal
घोटाला	skandalen
घोटाला	skandaler
घोटाला	bluff
रक्षात्मक	defensiva
रक्षात्मक	defensiv
मिस्री	egyptiska
मिस्री	egyptisk
मिस्री	egyptier
ईर्ष्या	svartsjuk
ईर्ष्या	avundsjuk
ईर्ष्या	avund
ईर्ष्या	avundsjuka
ईर्ष्या	svartsjuka
ईर्ष्या	avundsjuka
ईर्ष्या	avundsjuk
अमल	amal
मेडल	medaljen
मेडल	medalj
समरूप	homogen
समरूप	homogent
समरूप	homogena
गायों	kor
जैज़	jazz
गायकों	sångare
गायकों	sjungande
गायकों	sjunga
गायकों	sång
गायकों	sjungit
गायकों	sjunger
ओक	oak
ओक	ek
बैच	parti
बैच	sats
उड़ा	blåsa
उड़ा	blås
किनारा	gränsar
किनारा	inramning
किनारा	gränser
किनारा	kant
किनारा	edge
किनारा	kanten
किनारा	gräns
किनारा	kant
किनारा	border
किनारा	inramning
किनारा	gränsen
कौल	kaul
फ्रेड	fred
बुर्ज	tower
बुर्ज	torn
बुर्ज	tornet
बुर्ज	vakttornet
पियरे	pierre
वुड	ved
वुड	trä
वुड	virke
बंदरगाहों	hamn
बंदरगाहों	hamnen
बंदरगाहों	portvin
बंदरगाहों	port
बंदरगाहों	babord
अलेक्जेंडर	aleksandr
अलेक्जेंडर	alexander
परिमित	ändliga
वर्षगांठ	årsdagar
वर्षगांठ	årsjubileum
वर्षगांठ	bröllopsdag
वर्षगांठ	årsdag
वर्षगांठ	årsdagen
वर्षगांठ	jubileum
क्योटो	kyoto
मटर	ärtor
मटर	ärter
आर्किटेक्चर	arkitektur
फैक्ट्री	fabriken
फैक्ट्री	fabrik
फैक्ट्री	factory
वॉर्स	krigen
वॉर्स	krig
वॉर्स	wars
ओंटारियो	ontario
वायरल	viral
वायरल	virus
एडवेंचर	äventyr
अनुग्रह	nåd
अनुग्रह	grace
स्टीवर्ट	stewart
गिल्ड	gille
डेविडसन	davidson
घंटी	klocka
घंटी	bell
कूपर	coopers
कूपर	cooper
दोहन	sele
दोहन	selen
कैरोलिना	carolina
प्लान	planerar
प्लान	planen
प्लान	plan
प्लान	planera
विदा	vida
मिर्जा	mirza
खिंचाव	sträcka
खिंचाव	sträck
खिंचाव	sträckning
माफी	förlåtelse
अबुल	abul
व्लादिमीर	vladimir
दंगों	upplopp
दंगों	upploppen
दौलत	rikedom
दौलत	förmögenhet
दौलत	välstånd
दौलत	rikedomar
कोचीन	kochi
बर्गर	burger
बर्गर	hamburgare
बर्गर	hamburgare
बेहोश	medvetslös
बेहोश	medvetslösa
बेहोश	omedvetna
बेहोश	svimmade
वर्ड	ord
वर्ड	word
प्रभार	laddning
म्यांमार	burma
म्यांमार	myanmar
मार्गरेट	margaret
मार्गरेट	margareta
जुलूस	procession
अपमानजनक	nedsättande
बांसुरी	flöjt
दिशानिर्देश	riktningar
दिशानिर्देश	riktlinjer
दिशानिर्देश	riktlinjerna
माननीय	hedervärda
माननीय	ärade
माननीय	ärade
बधाई	gratulerar
बधाई	gratulera
बधाई	grattis
बधाई	hälsningar
सत्तर	seventy
सत्तर	sjuttio
सत्तर	sattar
हॉस्पिटल	sjukhus
हॉस्पिटल	sjukhuset
प्रांगण	lokalerna
प्रांगण	lokaler
प्रांगण	borggården
प्रांगण	innergård
हिंदुस्तानी	hindustani
त्यागपत्र	avgång
त्यागपत्र	avskedsansökan
त्यागपत्र	avsked
फास्फेट	fosfat
नीलम	sapphire
जलसन्धि	sundet
जलसन्धि	sund
उठी	uppfostrade
उठी	uppfostrad
उठी	uppväxt
उठी	höjt
उठी	uppvuxen
पोर्टेबल	bärbar
पोर्टेबल	bärbara
स्विंग	sving
स्विंग	gunga
स्विंग	svinga
स्विंग	swing
मर्फी	murphy
जेड	jade
हार्बर	hamn
हार्बर	harbor
हार्बर	hamnen
सत्कार	välkomnade
सत्कार	underhöll
टिप्पणियाँ	anmärkningar
टिप्पणियाँ	kommentarer
टिप्पणियाँ	synpunkter
प्रिंटर	skrivare
प्रिंटर	skrivaren
प्रिंटर	skrivare
सिनसिनाटी	cincinnati
गिरी	föll
गिरी	trillade
गिरी	ramlade
फुल	fulla
फुल	fullständig
फुल	full
फुल	fullt
जागरूक	medvetna
जागरूक	medveten
अनिश्चितता	ovisshet
अनिश्चितता	osäkerhet
अस्सी	åttio
अस्सी	eighty
अस्सी	assi
आंद्रे	andré
अनोखी	bisarrt
अनोखी	bisarr
अनोखी	bisarra
पापुआ	papua
सीआईडी	cid
विषयवस्तु	innehållet
विषयवस्तु	innehåll
विषयवस्तु	teman
विषयवस्तु	innehållet
विषयवस्तु	innehåll
विषयवस्तु	innehållsförteckning
सूरीनाम	surinam
फोर्ब्स	forbes
एजेंटों	ombud
एजेंटों	agenter
एजेंटों	agens
प्रेमियों	älskande
प्रेमियों	älskare
आनुवंशिकी	genetik
हथेली	palm
हथेली	handflata
दाग	fläckar
दाग	fläck
अज़ाब	gissel
अज़ाब	doom
मंचन	iscensätta
मंचन	iscensatt
बटालियन	bataljonen
बटालियन	bataljon
रिक	rick
बर्मिंघम	birmingham
गुस्से	vrede
गुस्से	ilska
आर्यन	ariska
ढलान	lutning
दीर्घकालीन	skov
दीर्घकालीन	återfall
लगन	hängivenhet
लगन	engagemang
लगन	lagan
चाकू	kniv
परिवर्तनीय	rörlig
परिवर्तनीय	variabeln
परिवर्तनीय	variabel
परिवर्तनीय	varierande
परिवर्तनीय	variablerna
परिवर्तनीय	variabler
परिवर्तनीय	föränderlig
मज्जा	benmärg
मज्जा	märgen
निर्दोष	oskyldig
निर्दोष	oskyldigt
निर्दोष	oskyldiga
महायान	mahayana
लीबिया	libyen
उज़बेक	uzbekiska
पिछला	senast
पिछला	senaste
पिछला	sista
पिछला	sist
पिछला	föregående
पिछला	tidigare
झुंड	flock
झुंड	hjord
घुड़सवार	ridsport
प्रसाधन	toa
प्रसाधन	wc
प्रसाधन	toaletten
प्रसाधन	toalett
प्रसाधन	medel
प्रसाधन	resurser
ईमानदार	uppriktig
ईमानदार	uppriktiga
ईमानदार	uppriktigt
ईमानदार	ärlig
ईमानदार	ärliga
ईमानदार	samvetsgrann
जोस	jose
जोस	josé
मल्टी	multi
चंदन	sandal
अंकीय	siffra
अंकीय	numeriska
अंकीय	numerisk
अंकीय	numeriskt
असेम्बली	montering
असेम्बली	församling
असेम्बली	församlingen
भिक्षुओं	munkarna
भिक्षुओं	munkar
लड़ी	tråden
लड़ी	tråd
कानों	öron
चांसलर	kanslern
चांसलर	förbundskansler
चांसलर	kansler
घई	ghai
अहसास	feeling
अहसास	känner
अहसास	känsla
अहसास	känna
अहसास	känslan
चक्रीय	cykliska
किपलिंग	kipling
अस्थाई	tillfällig
अस्थाई	temporär
अस्थाई	tillfälliga
अस्थाई	temporärt
अस्थाई	tillfälligt
तैमूर	timur
तबाह	förkrossad
तबाह	ruinerna
तबाह	ruiner
तबाह	ruin
योद्धाओं	krigare
कलाकृति	mästerverk
कलाकृति	grafik
कलाकृति	konstverk
नाइजीरिया	nigeria
मिसिसिपी	mississippi
थ्रिलर	thriller
बेलनाकार	cylindriska
अंतरजाल	internet
रहो	vistelse
रहो	stanna
रहो	stay
अतिक्रमण	intrång
ट्रैकिंग	spårning
ट्रैकिंग	spårar
अब्बास	abbas
गिद्ध	gam
पोस्टर	affisch
पोस्टर	affischen
पोस्टर	affischer
पोस्टर	affischerna
छात्रावास	studenthem
वंशजों	ättlingar
वंशजों	efterkommande
रंजक	pigment
उंगलियों	fingrar
उंगलियों	fingrarna
सभाओं	församlingar
चॉकलेट	choklad
चॉकलेट	choklad
राइफल	gevär
मेक	gör
मेक	fabrikat
मेक	göra
बल्ले	fladdermus
बल्ले	bat
स्थलाकृति	topografi
उछाल	studsa
उछाल	studs
उछाल	studsar
सुन्दरता	skönheten
सुन्दरता	skönhet
सुन्दरता	beauty
अंतरिम	trevande
जबड़े	käkar
जबड़े	hajen
नंदा	nanda
शेल	shell
शेल	skal
शेल	skal
शेल	snäckor
सू	stäm
सू	sue
सू	stämma
सू	sioux
सू	soo
रसोई	köket
रसोई	kök
वाक	tal
वाक	anförande
वाक	talet
चिकित्सालय	sjukhus
चिकित्सालय	sjukhuset
फंस	fångad
फंस	fångade
फंस	instängd
चट्टानें	hamnarbetare
चट्टानें	rockar
चट्टानें	klippor
चट्टानें	stenar
तीतर	partridge
चतुर	smart
चतुर	skarpsinnig
खानपान	catering
अस्वीकृत	ogillade
अस्वीकृत	nekad
अस्वीकृत	förnekade
अस्वीकृत	nekat
अस्वीकृत	förnekat
अस्वीकृत	nekas
अस्वीकृत	avvisat
अस्वीकृत	avböjde
अस्वीकृत	avvisad
अस्वीकृत	förkastade
अस्वीकृत	förkastat
अस्वीकृत	avvisat
अस्वीकृत	avvisade
अस्वीकृत	avvisa
अस्वीकृत	förkasta
अस्वीकृत	avslå
सजातीय	homogen
सजातीय	homogent
सजातीय	homogena
परिवर्तक	omvandlare
कसम	svär
किराया	hyr
किराया	hyran
किराया	hyra
खिलौने	leksaker
महीना	månaden
महीना	månad
महीना	manad
रिपोर्टिंग	anmäla
रिपोर्टिंग	rapporterar
रिपोर्टिंग	anmäler
रिपोर्टिंग	rapportering
नैनो	nano
नमकीन	salta
नमकीन	salt
पंद्रहवीं	femtonde
प्लेग	pest
प्लेग	pesten
निजीकरण	privatiseringar
निजीकरण	privatisering
अज्ञान	okunskap
अज्ञान	okunnighet
आर्द्र	fuktigt
आर्द्र	fuktiga
नबी	profet
नबी	profeten
नबी	nabi
हेल	hel
परी	fe
परी	älva
परी	pari
परी	ängeln
परी	ängel
परी	angel
कीचड़	gyttja
कीचड़	lera
न्यूर्क	newark
स्नायु	ligament
छुपा	gömt
छुपा	dold
छुपा	gömd
छुपा	dolda
छुपा	dolt
छुपा	dölj
छुपा	dölja
छुपा	gömma
छुपा	göm
डिफ़ॉल्ट	standardvärde
डिफ़ॉल्ट	standard
ड्राफ्ट	utkast
ड्राफ्ट	utkastet
राइस	rice
राइस	ris
मात	maat
रेफरी	domare
साहसी	äventyrlig
साहसी	modigt
साहसी	modiga
ताज़ा	färskt
ताज़ा	färsk
ताज़ा	fräsch
ताज़ा	färska
ताज़ा	uppfriskande
उपेक्षित	ignoreras
उपेक्षित	ignorerade
उपेक्षित	ignorerat
उपेक्षित	försummas
उपेक्षित	försummade
उपेक्षित	försummat
ज़िंदगी	life
ज़िंदगी	livet
ज़िंदगी	livstid
ज़िंदगी	liv
दरें	satser
अवशिष्ट	kvarvarande
अवशिष्ट	resterande
पेशेवरों	yrkesutövare
पेशेवरों	professionella
पेशेवरों	yrkesmän
पेशेवरों	proffs
पेशेवरों	yrkesverksamma
श्वार्ज़नेगर	schwarzenegger
धूमकेतु	komet
धूमकेतु	kometen
कॉनकॉर्ड	concorde
मिश्रधातु	legeringar
मिश्रधातु	legering
आइटम	poster
आइटम	objekt
आइटम	föremål
आइटम	varan
आइटम	objekt
आइटम	föremål
क्षणिक	övergående
वेदना	melankoli
जीमेल	gmail
फॉर्मेट	formatera
फॉर्मेट	formatet
फॉर्मेट	format
फेस	ansikte
फेस	ansiktet
फेस	face
पांव	fot
पांव	fötterna
पांव	fötter
झगड़ा	gräla
झगड़ा	gräl
छड़	stavar
मीट्रिक	mätvärden
मीट्रिक	mått
मीट्रिक	måttet
बांग्लादेशी	bangladesh
डिज़ाइनर	designer
डिज़ाइनर	formgivare
क्रीड़ा	sporter
क्रीड़ा	sport
क्रीड़ा	idrott
क्रीड़ा	sports
एकाग्रता	koncentrationer
एकाग्रता	koncentrationen
एकाग्रता	koncentration
ईकाई	unit
ईकाई	enhet
ईकाई	enheten
भतीजे	systerson
भतीजे	brorson
भतीजे	syskonbarn
भतीजे	syskonbarn
भतीजे	brorsöner
कुंभ	aquarius
संभाव्यता	sannolikhet
दंगे	upplopp
दंगे	upploppen
अपर	upper
अपर	övre
मेरिल	merrill
स्तनधारियों	däggdjur
संकेतक	markör
संकेतक	markören
संकेतक	visare
संकेतक	pekare
ठाकरे	thackeray
स्पष्टता	klarhet
स्पष्टता	tydlighet
बेंज	benz
तंजानिया	tanzania
गोल्डबर्ग	goldberg
एडी	eddie
एडी	addy
मिज़ोरम	mizoram
नहरों	canal
नहरों	kanal
नहरों	kanalen
नहरों	kanaler
पिस्तौल	pistol
विभेदन	resolution
विभेदन	upplösning
गुफाएं	grottor
गुफाएं	grottorna
सूक्ष्मजैविकी	mikrobiologi
उज़्बेकिस्तान	uzbekistan
सीरियल	nigeria
सीरियल	serie
सीरियल	algeriet
रिवर्स	omvänd
रिवर्स	omvänt
रिवर्स	omvända
रिवर्स	vända
कार्यपालिका	executive
कार्यपालिका	verkställande
कलिंग	kalinga
कास्ट	gips
कास्ट	gjutna
कास्ट	kasta
कास्ट	kastad
ठहरने	beboeliga
झटका	chock
झटका	stöt
झटका	idiot
कैदी	fånge
कैदी	fången
कैदी	interner
कैदी	fångar
साओ	cao
साओ	sao
विंडो	fönstret
विंडो	fönster
