دهقان	peasant
نیوفاندلند	நியூஃபவுன்லாந்து
حسادت	பொறாமை
حسادت	பொறாமை
زمانهای	காலங்கள்
زمانهای	நேரங்கள்
زمانهای	டைம்ஸ்
زمانهای	நேரங்களில்
معمای	மர்மம்
معمای	புதிர்
معمای	புதிர்
معمای	ஊசலாட்டம்
زوم	பெரிதா
زوم	பெரிதாக
گرانیت	கிரானைட்
گرانیت	கருங்கல்
رویترز	ராய்ட்டர்ஸ்
مثلثی	முக்கோண
کامپانیا	campania
تبتی	திபெத்திய
دلی	டெலி
ژرمنی	செருமானிய
مفرد	ஒருமை
شیلد	கவசம்
ترکمان	முன்ஷி
بلندای	சனி
سهمی	பரவளையம்
یونیون	கூட்டு
یونیون	யூனியன்
یونیون	சேர்க்கை
یونیون	ஒன்றிய
داوکینز	டாக்கின்சு
ساق	காலில்
ساق	கால்
بلبل	நைட்டிங்கேல்
راههای	வழிகள்
راههای	பாதைகள்
ارسالی	அனுப்பிய
ارسالی	அனுப்பி
ارسالی	அனுப்பப்பட்டது
ارسالی	அனுப்பியது
مونیکا	மோனிகா
کامی	காமில்
چکش	சுத்தியல்
چکش	சுத்தி
گالن	கலென்
گالن	கேலன்
سوزا	சோசா
سانچز	சான்செஸ்
سانچز	sánchez
بلدرچین	காடை
فانتوم	phantom
وداع	பிரியாவிடை
چارت	வரைபடம்
چارت	விளக்கப்படம்
موشی	சுட்டி
موشی	எலி
موشی	சொடுக்கி
تینا	டினா
تره	torre
تره	tre
کید	குழந்தை
کید	குழந்தையாய்
داو	daw
داو	புறா
داو	dow
هیولا	மான்ஸ்டர்
هیولا	அசுரன்
هیولا	அரக்கன்
اوتو	ஓட்டோ
تیتانیوم	டைட்டானியம்
اسپرم	விந்து
ضمیر	pronoun
ایزاک	ஐசக்
زینت	சுடரொளி
بخوانند	வாசி
بخوانند	படியுங்கள்
بخوانند	வாசிக்க
بخوانند	படித்த
بخوانند	படித்தது
بخوانند	படி
اوکیناوا	விபத்துக்குள்ளானது
تدارکات	பொருட்கள்
تدارکات	கேட்டரிங்
ساراگوسا	zaragoza
سودی	லாபம்
سودی	இலாபம்
سودی	நன்மை
سودی	பலனும்
سودی	பலன்
سودی	பயன்
بزرگوار	நோபல்
درایو	டிரைவ்
درایو	இயக்கி
مروان	மர்வான்
هرتز	ஏர்ட்சு
دزدیده	திருடப்பட்டது
دزدیده	கடத்தப்பட்ட
آتلانتیس	அட்லாண்டிஸ்
مردود	நிராகரிப்பு
ورم	edema
ورم	வீக்கம்
ورم	வீங்கி
موم	மெழுகு
سردرد	தலைவலி
اجاق	அடுப்பு
اجاق	அடுப்பில்
اجاق	ஓவன்
مرغابی	வாத்து
ستونی	தூண்
ستونی	நெடுவரிசை
ستونی	தூண்
ترا	தேரா
ترا	டெரா
کامو	காம்யு
خاکسپاری	அடக்கம்
اتر	ஈதர்
مادربزرگ	பாட்டி
مادربزرگ	பாட்டியின்
مادربزرگ	பாட்டியை
مادربزرگ	பாட்டி
قلاب	கொக்கி
بگیر	எடுத்துக்
بگیر	எடுத்து
بگیر	எடு
کارتونی	அனிமேஷன்
معالجه	சிகிச்சை
معالجه	சிகிச்சை
اوره	யூரியா
زننده	மோசமான
زننده	ஹர்ஷ்
پلیموث	பிளைமவுத்
اورال	உரல்
اورال	வாய்வழி
دپ	dap
خواستگاری	முன்மொழியப்பட்ட
خواستگاری	தாம்
خواستگاری	proposing
خواستگاری	proposal
ضیاء	ஜியா
هانی	தேன்
هوپ	நம்பிக்கை
هوپ	நம்புகிறேன்
براک	ப்ராக்
عرق	வியர்வை
نامرئی	கண்ணுக்குத்
ارگانیک	இயல்பான
ارگانیک	ஆர்கானிக்
قاتلان	கொலைகாரர்கள்
دونگ	டாங்
آندریاس	andreas
جواز	உரிமம்
مجرمان	குற்றவாளிகள்
حواصیل	ஹெரான்
کمین	கொண்டிருக்கின்றது
اتوبان	மோதிக்
اتوبان	நெடுஞ்சாலை
سیک	சீக்கிய
ریتا	ரீட்டா
لعاب	எனாமல்
بولی	பூலியன்
پورتال	போர்டல்
ومبلی	வெம்பிளி
هوک	கொக்கி
اعیاد	விடுமுறை
اعیاد	விடுமுறைகள்
ورمونت	வெர்மான்ட்
معنویت	ஆன்மிகம்
کوئن	கோஹன்
گلخانه	பைங்குடில்
بدرود	பிரியாவிடை
آویخته	தொங்க
بوداگرایی	பௌத்தம்
راهب	துறவி
مردن	இறந்து
مردن	dead
مردن	இறந்த
تخفیف	தள்ளுபடி
محرکه	உந்துகை
محرکه	locomotive
آرسنیک	ஆர்சனிக்
بریل	பிரெய்லி
بریل	brill
مزاحم	தொந்தரவு
جزییات	விவரம்
مرئی	காணக்கூடியது
مرئی	தெரியும்
خردسال	சிறு
خردسال	மைனர்
گلچین	anthology
فوتون	போட்டான்
نگهدارنده	மேம்பாட்டாளர்
نگهدارنده	காப்பாளர்
کوبین	கோபேன்
عامر	ஆமிர்
وولف	ஓநாய்
بزرگتری	பெரியது
سبزه	அழகி
کالری	எரிசக்தி
کالری	கலோரி
پترسون	பீட்டர்சன்
پترسون	patterson
فابیو	ஃபேபியோ
بیسمارک	பிஸ்மார்க்
فیلمشناسی	filmography
محک	benchmark
پوتین	புட்டின்
پوتین	பூட்ஸ்
سایبری	சைபர்
خداحافظ	பை
خداحافظ	வருகிறேன்
خداحافظ	குட்பை
دوبی	துபாய்
آلفونسو	அல்போன்சோ
آلفونسو	அல்போன்சா
یوزپلنگ	சிவிங்கிப்புலி
یوزپلنگ	பூமா
آنتورپ	antwerp
گلیز	கிளீசு
زک	சேக்
والش	வால்ஷ்
بلی	வயிறு
بلی	தொப்பை
سوروس	சொரெஸ்
گینس	கின்னஸ்
یاسین	யாசின்
یاسین	யாசின்
سالیوان	சல்லிவன்
ماراتن	மாரத்தான்
سیاهی	கருப்பு
سیاهی	கறுப்பு
بهجت	பகத்
بازشدن	பிப்
نیپون	நிப்பான்
