den	the
avsnittet	odeljak
avsnittet	sekcija
krav	zahtjevi
krav	zahtjevi
personen	osoba
personen	osobe
commons	commons
amt	amt
brott	zločini
brott	zločine
brott	kriminal
användaren	korisnički
användaren	korisnik
anderson	anderson
harris	haris
harris	harris
rekord	rekord
rekord	rekordno
rekord	bilježe
rekord	rekordnih
byggde	sagrađena
byggde	izgrađena
byggde	izgrađeno
byggde	izgradio
nedre	donjem
nedre	niže
nedre	niži
nedre	dno
bill	bil
bill	bill
bil	automobil
bil	automobile
annars	inače
bilden	slika
bilden	imidžu
bilden	imidž
bilden	slika
prix	prix
ökade	povećan
ökade	povećana
ökade	povećane
ökade	povećanu
ökade	povećanog
bär	nosio
bär	prenose
bär	bobica
bär	nose
bär	berry
budapest	budimpešta
kapten	kapiten
kapten	kapetan
röd	crvena
lord	gospodara
lord	gospodar
lord	gospod
lord	gospodaru
lord	lord
turkiet	turska
nelson	nelson
organisationen	organizacija
organisationen	organizacija
vasa	vaasa
känner	osjete
känner	osjećaju
känner	osjeti
känner	osjeća
känner	osjeća
känner	osećaj
känner	feeling
känner	osjećaju
känner	osjećaj
produktion	izlaz
produktion	proizvodnja
produktion	proizvodnja
omfattning	omjer
omfattning	opseg
internationell	međunarodno
internationell	međunarodni
internationell	international
utom	osim
portugal	portugal
förhållande	odnosu
förhållande	odnos
cours	cours
romanen	roman
timmar	sati
gilbert	gilbert
nationalitet	nacionalnost
frederick	fridrik
frederick	frederick
frederick	frederik
post	mail
post	post
post	ulazak
post	upis
sund	zdrave
sund	zdravi
sund	zdrava
sund	zdrav
sund	moreuz
beskrivs	opisuje
beskrivs	opisala
beskrivs	opisane
beskrivs	opisan
beskrivs	opisao
bissau	bisao
föremål	predmeta
föremål	predmete
föremål	stavke
föremål	predmeti
föremål	objekat
föremål	objekti
föremål	subjekat
föremål	subjekt
relevant	relevantne
relevant	relevantnim
ledande	vodeći
lunda	lunda
ishockey	hokej
total	ukupno
sammanhang	kontekst
sammanhang	kontekstu
röster	glasove
röster	glasova
röster	glasa
röster	glasovima
röster	glasovi
placering	plasman
mali	mali
lagoa	lagoa
lopp	trkama
lopp	rasa
lopp	utrka
lopp	utrke
lopp	trka
lopp	rasa
linje	linija
beror	zavisi
beror	zavise
sociala	društvena
sociala	društvene
sociala	društvenu
sociala	socijalna
undantag	iznimke
undantag	izuzetaka
undantag	izuzeci
undantag	izuzetak
dur	dur
astragalus	astragalus
sydafrika	afrika
kraftigt	snažno
horn	rogova
horn	rog
internationellt	međunarodno
internationellt	međunarodni
internationellt	international
internationellt	međunarodno
kanaler	kanali
kanaler	kanala
kanaler	kanale
kanaler	kanalima
köpte	kupio
visst	sure
visst	siguran
beskriver	opisujući
beskriver	opisuje
beskriver	opisati
beskriver	opisivanje
gordon	gordon
vetenskapliga	naučna
vetenskapliga	naučne
vetenskapliga	naučno
nivå	nivo
norrköping	norrköping
flygplan	aviona
flygplan	aeroplane
flygplan	avion
burundi	burundi
allmänt	general
förening	udruženje
förening	asocijacija
förening	jedinjenje
riktigt	real
riktigt	pravi
soldater	vojnici
pedro	pedro
nordisk	nordijska
senast	last
senast	poslednji
senast	poslednja
senast	posljednja
senast	zadnja
senast	posljednji
senast	najnoviji
senast	najnovija
senast	najnovije
bryssel	brisel
viktigt	važnom
viktigt	važna
viktigt	važno
viktigt	bitan
viktigt	važnih
viktigt	bitno
läsning	reading
läsning	čita
carlos	karlos
carlos	carlos
politik	politika
politik	politika
sonen	sin
växjö	växjö
vikt	težina
levande	živi
levande	living
levande	živo
levande	živa
levande	live
levande	živa
baden	baden
börja	početak
börja	start
börja	početka
börja	počinju
gösta	gösta
karin	karin
kroppen	tijela
kroppen	tijelo
kroppen	tijelu
kroppen	telo
närvarande	prisutan
pennsylvania	pennsylvania
massachusetts	massachusetts
can	može
serbien	srbija
någonsin	ikada
någonsin	ikad
någonsin	ever
redaktör	editor
redaktör	urednik
sammanlagt	ukupno
anställda	uposlenici
snarare	umjesto
snarare	radije
flytta	move
flytta	potez
flytta	pokret
damer	ladies
damer	dame
korta	kratko
korta	kratko
stå	stand
representerade	zastupljena
representerade	predstavljao
representerade	predstavljena
jakob	jakob
jakob	jakov
jakob	james
instrument	instrumente
instrument	instrumenata
instrument	instrumentation
instrument	instrument
klara	spremno
klara	spreman
klara	spremni
klara	klara
stater	države
stater	država
leda	olova
leda	olovo
länk	veza
länk	link
bolag	korporacija
bolag	korporacije
bolag	kompanija
bolag	kompanije
brev	mail
brev	pisma
brev	slova
brev	pismo
brev	slovo
opera	opera
sen	kasni
sen	kasno
sen	potom
sen	onda
sen	tada
sen	zatim
sen	sen
chicago	chicago
yukon	yukon
sir	sir
sir	ser
former	forme
former	formama
former	oblici
former	oblike
regel	pravilo
miljarder	bilion
miljarder	milijarde
miljarder	milijardi
artiklarna	članaka
artiklarna	članci
begrepp	pojam
begrepp	pojmove
begrepp	uslovi
begrepp	koncepti
åbo	turku
yttre	spoljne
yttre	vanjski
yttre	spoljnoj
yttre	spoljašnje
yttre	spoljašnja
yttre	vanjska
yttre	vanjski
yttre	exterior
upphörde	istekao
faktiskt	zapravo
otillräckligt	neadekvatna
otillräckligt	neadekvatni
midi	midi
individer	pojedinci
bluff	prevara
bluff	hoax
bluff	bluff
ulf	ulf
oberoende	independent
oberoende	nezavisno
oberoende	nezavisni
oberoende	nezavisna
oberoende	nezavisno
oberoende	nezavisnost
sällan	rijetko
byggd	sagrađena
byggd	izgrađena
byggd	izgrađeno
byggd	izgradio
stephen	stephen
sårbar	ranjive
sårbar	ugrožene
varv	lap
varv	revolucije
varv	brodogradilišta
mikael	mikael
mikael	michael
thunder	grom
latin	latinski
blekinge	blekinge
steve	steve
säsonger	sezona
släkten	genera
alternativ	alternativna
alternativ	alternativa
alternativ	alternative
alternativ	alternativa
alternativ	opcije
alternativ	opcija
skäl	razlozi
skäl	razloga
skäl	razum
skäl	osnov
byggnad	zgrada
återigen	opet
återigen	ponovo
trupper	trupe
träd	drvo
träd	drveće
www	www
offentliga	javni
offentliga	javnost
offentliga	javna
offentliga	javno
colspan	colspan
clark	clark
ansvar	odgovornost
ansvar	nadležnosti
ansvar	odgovornosti
ansvar	odgovornost
havanna	havana
populär	popularna
populär	popularan
populär	popularni
vilhelm	william
vilhelm	vilim
bildas	formiranje
bildas	formirajući
bildas	formirane
bildas	formirana
chihuahua	chihuahua
närmare	bliže
närmare	bliža
ordinarie	običnih
ordinarie	obični
ordinarie	običan
ordinarie	običnog
ordinarie	redovni
ordinarie	redovnog
ordinarie	redovan
ordinarie	redovna
ordinarie	redovnom
ordinarie	redovnim
helsingborg	helsingborg
josef	joseph
josef	josef
utvecklingen	razvoj
utvecklingen	evolucija
utvecklingen	dešavanja
gerais	gerais
philip	philip
philip	filip
sydney	sydney
night	night
lennart	lennart
samling	zbirka
samling	kolekcija
samling	collection
allen	allen
allen	alen
tegucigalpa	tegucigalpa
gräshoppor	skakavaca
iran	iran
sonora	sonora
täckt	pokriveni
täckt	pokrivena
täckt	pokrivene
besegrade	osvojio
besegrade	osvojen
besegrade	poraženi
besegrade	poražena
besegrade	porazila
besegrade	porazio
fängelse	zatvor
fängelse	zatvor
miller	miller
mexico	meksiko
gracilis	gracilis
kategorier	kategorije
kategorier	kategorija
våtmarker	močvara
town	grad
publicerade	postavljenim
publicerade	objavljenog
publicerade	objavljen
publicerade	objavljene
publicerade	objavljeni
publicerade	objavljena
eurovision	euroviziji
pfalz	palatino
pfalz	falačka
kontakt	kontakt
michel	michel
baptiste	baptiste
out	iz
out	out
personliga	ličnu
personliga	ličnim
personliga	lične
personliga	lična
personliga	lično
personliga	lični
talar	govoreći
talar	govori
talar	govoriti
talar	govori
följa	povode
följa	slijede
följa	slijedi
müller	müller
pop	pop
banan	banana
ligan	liga
rose	ruža
tolv	dvanaest
våra	naše
våra	naša
våra	naš
våra	naše
våra	naša
våra	nase
zhejiang	zhejiang
hemma	dom
hemma	home
ämnet	tema
fadern	otac
andrew	andrew
tony	tony
fortsätter	nastavlja
fortsätter	nastavljaju
fox	lisica
fox	fox
lisa	lisa
chris	chris
makt	power
makt	vlast
texter	tekstova
texter	tekstovima
texter	teksta
texter	tekstova
texter	tekstove
texter	lirika
texter	stihovima
margareta	margaret
helena	helena
luleå	luleå
gränsar	granica
ukraina	ukrajina
elisabeth	elizabeta
elisabeth	elizabeth
elisabeth	elisabeth
periodisk	periodnog
ferrari	ferrari
herman	herman
befälhavare	pic
befälhavare	komandant
befälhavare	komandanti
befälhavare	komadant
befälhavare	komandant
mike	mike
tro	vjera
tro	vjeruju
tro	vjerovanje
tro	vjerovanja
modell	model
modell	modela
berättar	predanje
berättar	izjavivši
behov	treba
behov	treba
examen	ispit
examen	ispitu
examen	stepenu
examen	stepen
examen	stepena
examen	matura
examen	diplomirani
examen	diplomirao
queen	queen
queen	kraljica
låter	zvuči
låter	zvukova
låter	sounds
fortsätta	nastavljaju
senator	senator
malaysia	malezija
formel	formula
artister	izvođači
artister	umjetnici
lena	lena
befolkning	populacija
variant	varijanta
månad	mjesečna
månad	mjesečni
månad	mjesec
fiction	fikcija
huvud	glava
klar	spremno
klar	spreman
klar	spremni
klar	završila
klar	završio
klar	završeno
bergen	bergen
kräver	zahtjevi
kräver	zahtijevaju
paret	par
paret	nekoliko
upper	gornji
jersey	jersey
channel	kanal
channel	kanalu
channel	channel
are	su
kärlek	ljubav
möjligen	moguće
föregående	prethodna
föregående	prethodnim
föregående	prethodni
föregående	prethodno
föregående	prethodnom
föregående	prethodne
sak	stvar
mario	mario
nuuk	nuuk
präst	sveštenik
präst	sveštenik
präst	sveštenika
maurice	maurice
fakta	činjenica
fakta	činjenice
fakta	činjenica
luis	luis
vinnare	pobjednik
vinnare	pobjednici
edwards	edwards
dollar	dolara
dollar	dolar
svar	odgovore
svar	odgovori
svar	odgovor
svar	odgovor
svar	odgovor
amazonas	amazon
sade	rekli
sade	sade
täcker	pokriva
täcker	obuhvata
arne	arne
allmän	general
varierar	variraju
varierar	varira
visas	pokazao
visas	pokazale
visas	pokazala
visas	pokazalo
visas	pokazali
visas	prikazana
visas	pokazivao
utvecklade	razvijao
utvecklade	razvijene
utvecklade	razvio
yamoussoukro	yamoussoukro
maka	supruga
maka	žena
närmast	najbliži
närmast	najbliži
närmast	najbliža
butler	butler
turneringen	turnir
bruce	bruce
bruce	brus
utseende	izgled
utseende	izgleda
omgång	rundu
klassiska	klasični
klassiska	klasični
klassiska	classic
klassiska	klasik
regler	pravila
bytes	bajtova
ohio	ohio
street	street
street	ulice
street	ulica
auguste	auguste
org	org
styrka	snage
styrka	snaga
styrka	jakih
innehöll	sadrži
innehöll	obezbjedili
uttryck	izrazi
uttryck	izraza
uttryck	izraz
strid	bitka
strid	borbeni
super	super
agua	agua
katarina	catherine
katarina	katarina
katarina	katarina
uppmärksamhet	pažnja
sound	zvuk
beläget	smještena
louise	louise
människan	muškarac
dublin	dablinu
gävle	gävle
polisen	policija
california	kalifornija
vis	vis
vis	mudra
bröt	slomio
bröt	izbio
bröt	raspala
guangdong	guangdong
brian	brian
tydligt	jasno
hälften	polovina
hälften	polovinu
hälften	pola
union	savez
union	unija
union	union
verkligen	zaista
verkligen	istinski
verkligen	stvarno
ensam	sami
ensam	sama
ensam	lonely
ensam	usamljeni
arbetat	radio
läsa	čita
läsa	reading
läsa	čita
egenskaper	specifičnosti
egenskaper	svojstva
stig	stig
andalusien	andaluzija
syd	jug
syd	syd
håll	hold
håll	održati
håll	drže
dom	ih
dom	oni
dom	dom
allsvenskan	allsvenskan
trä	drvena
trä	drveni
trä	drvene
trä	drvenih
trä	drvenim
trä	drva
trä	drvo
gröna	zelena
gröna	zeleni
järnväg	željeznice
järnväg	željeznica
järnväg	željeznice
järnväg	željeznički
järnväg	željeznički
järnväg	pruga
meddelade	najavljeno
meddelade	najavio
meddelade	objavio
meddelade	objavili
vol	vol
värde	vrijednost
natten	night
patrick	patrick
ann	ann
dvd	dvd
alan	alan
fiskar	ribe
fiskar	ribolov
natura	natura
madagaskar	madagaskar
historiker	istoričar
historiker	historičar
historiker	historičari
rättigheter	prava
snö	snijeg
topp	top
topp	vrhunac
topp	peak
institutet	institut
institutet	institutu
institutet	zavod
tibet	tibet
bear	medvjed
lära	učenje
lära	uče
lära	nauči
lära	uči
lära	learn
standard	default
standard	uobičajeni
standard	uobičajena
standard	standardni
alabama	alabama
panama	panama
vinner	pobjeđuje
vinner	pobijedila
kortare	kraći
kortare	kraće
kortare	kraća
skrivna	pisani
skrivna	napisano
skrivna	zapisano
skrivna	napisao
skrivna	pisan
skrivna	pisao
stationen	stanica
howard	howard
natur	priroda
menade	značilo
rolf	rolf
framåt	napred
framåt	naprijed
framåt	plasirao
missouri	missouri
samlade	okupilo
addis	adis
öppnade	otvoren
öppnade	otvorili
öppnade	otvorio
vladimir	vladimir
knut	knut
knut	čvor
dubbel	dvostruki
dubbel	dupla
dubbel	dvostruko
dubbel	dvostruke
dubbel	dvostruku
dubbel	dvostruka
mästerskapet	championship
mästerskapet	šampionat
mästerskapet	prvenstvo
last	učitavanje
last	teret
last	cargo
last	teretni
kontroll	kontrolisanje
kontroll	kontrolisati
kontroll	kontroliše
kontroll	kontroli
kontroll	kontrola
tillfällen	prilikama
tillfällen	navrata
teknik	tehnika
teknik	tehnologija
teknik	tehnike
musikalbum	album
välja	odabrao
välja	biraju
välja	birati
välja	izabere
välja	izabrao
välja	izboru
traditionella	tradicionalna
traditionella	tradicionalne
traditionella	tradicionalno
minne	sjećanje
minne	uspomena
minne	pamćenje
minne	memorija
minne	memorije
minne	memorijski
målet	meta
tidskriften	magazin
krävs	potrebnih
taiwan	tajvan
norman	norman
norman	normana
grundare	osnivači
grundare	osnivača
grundare	osnivač
abeba	abeba
princip	princip
kyrkor	crkava
rené	rené
rené	rene
pan	pan
berget	planina
berget	mount
jim	jim
regemente	regimenta
regemente	puk
starka	jaka
starka	jaki
reste	putovao
reste	putovali
reste	otputovao
party	stranka
party	partija
massa	massa
massa	masa
populära	popularna
populära	popularan
populära	popularni
janeiro	janeiro
skydd	sklonište
skydd	zaštita
skydd	zaštitu
end	kraj
zhen	zhen
tåg	voz
tåg	vozove
tåg	vozovi
tåg	vozova
til	til
full	pun
full	full
full	puna
full	punom
full	puni
full	punu
full	napije
umm	umm
quito	quito
leo	lav
leo	leo
elegans	elegans
campbell	campbell
öppnades	otvoren
öppnades	otvorili
öppnades	otvorio
sam	sam
sam	samom
sam	same
acacia	acacia
stat	država
historiskt	historijsko
historiskt	historijski
historiskt	istorijski
historiskt	historijski
historiskt	historijska
historiskt	historijsko
historiskt	historijski
minor	rudnici
minor	mina
minor	mine
minor	manja
sovjetiska	sovjetski
klockan	sahat
klockan	sat
karaktär	karaktera
karaktär	karakter
karaktär	lik
beethoven	beethoven
sjukdom	bolest
sjukdom	oboljenja
sjukdom	bolest
edvard	edvard
edvard	edvard
edvard	edward
fotograf	fotografa
lyckas	naslijediti
biografi	bio
biografi	biografija
förmodligen	vjerovatno
ross	ros
ross	ross
harald	harald
ernest	ernest
låtskrivare	tekstopisac
sångerska	pjevačica
sångerska	pjevač
problemet	problem
rubus	rubus
rent	čisti
rent	čisto
rent	čista
rent	čistu
rent	čistim
rent	čista
rent	čist
rent	čistom
wang	wang
nämns	spomenut
nämns	spominje
nämns	spomenuo
nämns	pomenuo
nämns	spomenuta
will	will
will	će
will	ce
flottan	mornarica
flottan	flota
earl	earl
längst	najduži
längst	najduža
piz	piz
äktenskap	brak
murray	murray
mat	hrana
kandidat	kandidata
kandidat	kandidat
ekonomi	ekonomija
ekonomi	privreda
arkansas	arkansas
upptäcktes	otkriveni
upptäcktes	otkrivene
upptäcktes	otkrivena
upptäcktes	otkriven
upptäcktes	otkrio
upptäcktes	otkrili
behövs	potrebni
behövs	potrebno
behövs	potrebna
behövs	potreban
behövs	potrebne
söner	sinovi
söner	sinova
släkt	vezani
släkt	vezane
släkt	porodica
släkt	porodično
claude	claude
produkter	proizvodi
borough	borough
indiska	indijska
indiska	indijanac
indiska	indijski
indiska	indija
arm	ruka
mannen	muškarac
ivan	ivan
hektar	hektara
hektar	hektara
hektar	hektar
kanalen	kanal
kanalen	kanal
kanalen	kanalu
kanalen	channel
leonard	leonard
energi	energija
japansk	japanski
jurist	advokat
uppstod	proizašla
uppstod	nastali
coast	obala
orkester	orkestar
rörelsen	pokret
poet	pjesnik
framgångar	uspjesima
framgångar	uspjehe
framgångar	uspjeh
äger	posjeduje
hårt	uska
hårt	hard
hårt	teško
verde	verde
debut	debi
indiana	indiana
heart	srce
modellen	model
modellen	modela
påträffats	naišao
arizona	arizona
baserat	based
baserat	bazirana
baserat	osnovu
hansson	hansson
bröderna	braće
bröderna	braća
borås	borås
anslutning	pristupanje
anslutning	veza
led	vodio
led	vodili
led	predvodio
led	predvodi
klubb	kluba
tommy	tommy
eugenia	eugenija
veta	znajući
veta	zna
veta	znaju
veta	know
kenya	kenija
alice	alice
råd	savjet
andorra	andora
bosatt	stanovnik
avstånd	udaljenost
avstånd	domet
avstånd	dometa
avstånd	spacing
war	rat
war	ratu
bulgariska	bugarski
association	udruženje
association	asocijacija
hel	hel
hel	cijela
hel	čitava
ian	ian
mening	značenja
mening	značenju
mening	značenje
mening	smisao
mening	kaznu
mening	rečenica
mening	kazna
mening	presudom
släppt	objavljeni
släppt	pušten
släppt	pušteni
bonnier	bonnier
kent	kent
bibliografi	bibliography
sätta	stavi
sätta	stavila
sätta	staviti
sätta	stavio
sätta	stavljen
golo	golo
death	smrt
calais	calais
leva	live
religiösa	vjerski
religiösa	vjersko
religiösa	vjerskim
religiösa	vjerska
religiösa	vjerskih
religiösa	vjerske
grekisk	grčki
fritt	free
bilar	automobile
bilar	automobili
bilar	automobila
pine	bor
pine	pine
efternamn	čvor
efternamn	prezime
pdf	pdf
tidning	novine
tidning	magazin
tidning	žurnal
kim	kim
fly	mušica
fly	lete
fly	bijeg
fly	pobjegne
planet	planeta
planet	avion
sand	pesak
sand	pijeska
tomas	tomas
tomas	thomas
etapp	faze
etapp	faza
etapp	faza
etapp	bina
grant	grant
religion	religija
händer	ruke
händer	rukama
abu	ebu
abu	abu
utah	utah
sichuan	sichuan
renault	renault
medlemmarna	članovi
studera	proučava
studera	proučavaju
studera	proučiti
studera	studija
studera	proučavanja
slå	pobijedio
slå	pobedi
slå	pobijedivši
slå	porazivši
lokal	lokalnom
lokal	lokalni
kommentarer	komentari
kommentarer	komentarima
windows	windows
valle	valle
morgan	morgan
lasse	lasse
lincoln	lincoln
lincoln	linkoln
heliga	sveta
heliga	mesdžidul
heliga	sveta
heliga	sveti
heliga	sveto
yang	yang
manusförfattare	scenariste
solanum	solanum
visat	pokazao
visat	pokazale
visat	pokazala
visat	pokazalo
visat	pokazali
visat	prikazana
visat	pokazivao
anställd	radnik
anställd	zaposleni
anställd	zaposlenih
särskild	posebna
särskild	specijalno
särskild	specijalni
html	html
lady	ledi
lady	dami
lady	dama
lady	lady
rheinland	porajnje
tidszon	timezone
bevarade	proučena
günther	günther
sekreterare	sekretar
revs	srušena
berömda	poznati
berömda	poznata
berömda	poznat
berömda	poznate
berömda	slavni
utländska	stranih
utländska	strani
utländska	stranim
överste	pukovnik
pico	pico
täthet	gustoća
inlägg	post
inlägg	objave
adams	adams
holstein	holstein
order	naređenje
order	naređenja
anger	navodi
anger	ukazuje
kanadensisk	kanadski
fåglar	ptice
württemberg	württemberg
inslag	elemenata
inslag	elementima
inslag	elementa
inslag	elemente
inslag	elementi
sänka	snižavanje
titlar	titule
titlar	titula
sant	istina
sant	tačna
elever	studenti
elever	učenici
elever	zenice
nation	nacija
social	društvena
social	društvene
social	društvenu
social	socijalna
christopher	christopher
hittar	pronalazi
hittar	nađe
hittar	nalazi
hästar	konjima
hästar	konji
armenien	armenije
juba	juba
skapar	stvara
skapar	stvaraju
skapar	napravi
skapar	stvoriti
skapar	kreiranje
skapar	kreiranje
skapar	stvaranje
karlskrona	karlskrona
elizabeth	elizabeta
elizabeth	elizabeth
camp	logor
camp	camp
camp	kamp
camp	kampu
framgångsrika	uspješan
framgångsrika	uspješnu
framgångsrika	uspješne
framgångsrika	uspješna
framgångsrika	uspješni
oliver	oliver
föll	pala
föll	pao
lucas	lucas
olle	olle
jiangxi	jiangxi
beskrivning	opis
middle	srednji
paraná	paraná
trafik	saobraćaj
tätort	urban
tätort	urbani
tätort	urbano
tätort	urbana
tätort	urbane
varianter	varijante
varianter	varijacije
jordan	jordan
medel	sredstva
medel	fondovi
medel	resursi
medel	resurse
rumänien	rumunija
boston	boston
johnny	johnny
wild	divljeg
wild	divlji
wild	wild
wild	divlja
förbundet	liga
road	put
lexikon	lexicon
lexikon	rječnik
blues	blues
mix	miks
kod	kod
tillgång	pristup
tillgång	pristupa
tillgång	access
bro	bro
bro	most
like	kao
like	like
boy	boy
boy	dječak
boy	dečak
line	linija
gemensamt	zajedničke
gemensamt	zajednički
gemensamt	zajedničkim
gemensamt	zajedničku
framstående	eminentnih
framstående	uvaženi
framstående	istaknuti
framstående	istaknuti
framstående	istaknutih
canal	kanal
sport	sport
sport	sportsko
advokat	advokat
advokat	advokat
cameron	cameron
armé	vojska
armé	armija
vitt	bijela
vitt	bijeli
lättare	lakši
lättare	lakše
lättare	lahke
iso	iso
södertälje	södertälje
marcus	marcus
ämne	tema
ämne	supstanca
ämne	materija
ämne	supstance
ämne	subjekat
ämne	subjekt
kropp	tijela
kropp	tijelo
kropp	tijelu
kropp	telo
kentucky	kentucky
artist	izvođač
artist	umjetnik
championship	championship
championship	šampionat
championship	prvenstvo
ägs	vlasništvu
down	down
down	oboren
down	dole
video	video
fält	polje
fält	polja
huvudet	glava
viola	viola
champagne	champagne
parlamentet	parlament
spansk	španski
kemi	hemija
undvika	izbjegavanje
undvika	izbjegava
undvika	izbjeći
undvika	izbjegavati
undvika	izbjegne
undvika	izbjegavanja
vinst	profit
vinst	dobit
vinst	pobjeda
vinst	pobijedi
vinst	osvoji
vinst	profit
publik	publika
publik	masi
publik	masa
publik	publika
sjukhus	bolnica
sjukhus	bolnice
förmåga	kapacitete
förmåga	sposobnosti
förmåga	sposobnost
förmåga	kapacitete
historisk	historijsko
historisk	historijski
historisk	istorijski
historisk	historijska
historisk	historijsko
historisk	historijski
bertil	bertil
privata	privatno
privata	privatne
privata	privatni
privata	privatna
demokratisk	demokratski
demokratisk	demokratska
gemensamma	zajedničke
gemensamma	zajednički
gemensamma	zajedničkim
gemensamma	zajedničku
dakota	dakota
förluster	gubitke
förluster	gubici
förluster	žrtava
förluster	žrtve
nyheter	vijest
nyheter	vijesti
nyheter	news
nyheter	novosti
ray	ray
köptes	kupio
show	show
show	emisiju
show	nastup
show	šou
show	sou
tornet	toranj
skiva	disc
skiva	diska
skiva	disk
skiva	disku
representerar	predstavlja
representerar	predstavljaju
ändra	mijenja
ändra	promjena
ändra	izmjena
ändra	promjene
ändra	promjeni
ändra	promene
ändra	promena
tider	puta
prout	prout
döden	smrt
bidrog	doprinijela
bidrog	doprinijeli
bidrog	doprinio
bidrog	doprinijelo
hörde	čuo
hörde	čuli
oavsett	god
bred	wide
bred	široki
bred	široko
bred	široka
bred	široka
bred	široki
bred	širokog
bred	široku
bred	široke
totala	ukupno
may	maj
hålls	održano
hålls	držala
hålls	održana
hålls	održan
färger	boje
färger	boje
manchester	manchester
mato	mato
öka	povećanje
öka	porast
öka	povećati
motiv	motiv
motiv	kadrova
motiv	okvir
motiv	motif
motiv	motive
motiv	motivi
bergman	bergman
revolutionen	revolucija
länderna	zemljama
länderna	zemlje
ute	iz
ute	out
game	igra
gul	žuta
gul	gul
äkta	real
äkta	pravi
äkta	autentična
paz	paz
göta	göta
hjalmar	hjalmar
fisk	ribe
kunskap	znanje
håkan	hakan
håkan	håkan
planer	planova
planer	planove
planer	planovi
planer	planira
cambridge	cambridge
bilda	oblik
bilda	formirati
bilda	forma
bilda	formi
bilda	formiraju
robinson	robinson
turner	turner
papua	papua
population	populacija
slutar	završava
slutar	staje
slutar	prestaje
slutar	sprečava
skara	skara
golden	zlatna
värld	world
värld	svjetski
värld	svijet
anthony	anthony
demokratiska	demokratski
demokratiska	demokratska
christina	christina
kristian	kristian
dead	mrtva
dead	mrtvi
dead	mrtvo
dead	mrtav
lawrence	lawrence
allan	allan
allan	alan
termen	mandat
termen	izraz
termen	termin
porträtt	portret
porträtt	portreta
brandenburg	brandenburg
klassisk	klasični
klassisk	klasični
klassisk	classic
klassisk	klasik
zambia	zambije
student	student
särskilda	specifične
särskilda	konkretne
särskilda	specifična
särskilda	posebna
särskilda	specijalno
särskilda	specijalni
utveckla	razvijao
utveckla	razvija
stewart	stewart
sjätte	šesti
sjätte	šestom
förstår	razumije
förstår	razumiju
förstår	razumije
förstår	shvati
kristina	kristina
jimmy	jimmy
beslutade	odlučili
beslutade	odlučilo
beslutade	odlučila
beslutade	odlučio
television	televizija
bell	bell
basse	privatno
basse	privatne
basse	privatni
basse	privatna
ljud	zvuk
ljud	zvuči
ljud	zvukova
ljud	sounds
ljud	audio
framträdande	izgled
framträdande	istaknuti
framträdande	istaknutih
fullt	potpuno
fullt	pun
fullt	full
fullt	puna
fullt	punom
fullt	puni
fullt	punu
orter	gradovi
bernard	bernard
graham	graham
mercedes	mercedes
salt	slana
salt	so
högskolan	fakultet
högskolan	koledž
chen	cen
vintern	zima
fasta	post
fasta	fiksni
zürich	zürich
zürich	cirih
zürich	zürich
effekt	efekt
effekt	efekat
viktor	viktor
viktor	victor
viktor	viktor
salvador	salvador
händelser	priče
händelser	price
händelser	događaja
händelser	događaji
händelser	dešavanja
mandat	mandati
mandat	mandat
vattenfall	vodopad
honda	honda
sent	kasni
sent	kasno
novo	novo
three	tri
kejsare	imperator
kejsare	careva
kejsare	carevi
grosso	grosso
versioner	verzije
samtida	savremena
uruguay	urugvaj
oxford	oxford
objekt	predmeta
objekt	predmete
objekt	stavke
objekt	predmeti
objekt	objekti
objekt	objekat
home	dom
home	home
tävlingar	takmičenjima
aquitaine	akvitanija
ritningar	crtežima
ritningar	crteži
visades	prikazana
visades	pokazivao
hamburg	hamburg
insatser	akcija
insatser	radnje
insatser	akcije
insatser	postupci
insatser	postupcima
insatser	napore
insatser	napori
lär	uče
lär	nauči
lär	uči
lär	learn
operation	operacija
operation	hirurgija
luxemburg	luksemburg
avgörande	presudno
avgörande	presudni
avgörande	presudan
avgörande	presudna
avgörande	odlučujuća
ersatte	zamijenio
ersatte	zamijenjeni
årligen	godišnje
årligen	godišnje
årligen	godišnjim
årligen	godišnji
årligen	godišnjem
årligen	godišnja
angränsande	susjedne
angränsande	susjednih
angränsande	susjednoj
angränsande	susjedna
hundra	stotinu
hundra	stotine
hundra	hundred
hundra	stotina
filosofi	filozofija
maría	maría
miguel	miguel
nicholas	nicholas
gjorda	made
gjorda	napravio
gjorda	napravljena
gjorda	napravljen
gjorda	napravila
pettersson	pettersson
exakt	precizno
exakt	tačno
exakt	tačan
tidig	ranim
fischer	fischer
sun	sunce
falls	pada
falls	spada
falls	vodopadi
lämnar	odlazak
lämnar	napušta
lämnar	ostavljajući
lämnar	napuštanje
lämnar	ostavivši
skivor	rekordi
skivor	zapisi
skapat	kreirana
skapat	stvoreno
skapat	stvorena
skapat	stvoren
skapat	stvorio
mil	mile
mil	miles
mil	milja
mil	km
mil	mil
sist	last
sist	poslednji
sist	poslednja
sist	posljednja
sist	zadnja
sist	posljednji
baron	baron
studenter	studenti
studenter	učenici
cook	cook
google	google
fujian	fujian
mötte	upoznao
mötte	naišao
bromsar	brake
förändringar	promjene
paso	pasu
ras	trka
ras	rasa
ras	ras
unionen	savez
unionen	unija
unionen	union
clubnat	clubnat
avgick	ostavku
kände	osjetio
kände	znao
kände	znali
kände	poznavao
